latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.9617,-81.3221,309.4,1.2,1.1,2000-11-01,1633,Terra,MODIS,52,6.2,298.6,7.2,D,0
22.7002,-81.1134,313.8,1.2,1.1,2000-11-01,1633,Terra,MODIS,64,6.2,301.3,8.4,D,0
22.6746,-81.0815,318.6,1.2,1.1,2000-11-01,1633,Terra,MODIS,73,6.2,302.3,15.8,D,0
22.3081,-81.5419,308.3,1.2,1.1,2000-11-01,1633,Terra,MODIS,54,6.2,298.3,5.7,D,0
21.9095,-77.9925,364.1,1.3,1.1,2000-11-03,1621,Terra,MODIS,100,6.2,303.6,130.7,D,0
21.9074,-77.9803,328.5,1.3,1.1,2000-11-03,1621,Terra,MODIS,83,6.2,300.4,29.9,D,0
21.9109,-77.9986,338.3,1.3,1.1,2000-11-03,1621,Terra,MODIS,90,6.2,301.6,49,D,0
21.9089,-77.9864,350.1,1.3,1.1,2000-11-03,1621,Terra,MODIS,95,6.2,303,81.5,D,0
22.269,-80.5895,312.1,1.1,1.1,2000-11-05,1609,Terra,MODIS,61,6.2,299.2,5.8,D,0
21.7217,-79.2062,312.8,1,1,2000-11-05,1609,Terra,MODIS,37,6.2,297.3,5.4,D,0
21.3435,-77.4546,325,1,1,2000-11-05,1609,Terra,MODIS,79,6.2,297.9,17.9,D,0
21.3421,-77.4449,309.4,1,1,2000-11-05,1609,Terra,MODIS,31,6.2,295.8,3.5,D,0
22.6959,-81.1488,312.1,2.5,1.5,2000-11-06,1652,Terra,MODIS,58,6.2,297.4,19.7,D,0
20.12,-77.2449,315.6,1.1,1,2000-11-07,1557,Terra,MODIS,67,6.2,303.6,6.3,D,0
22.0835,-79.1793,303,1.2,1.1,2000-11-09,0335,Terra,MODIS,53,6.2,292.9,6,N,0
21.7428,-78.3588,311.3,1.5,1.2,2000-11-10,1627,Terra,MODIS,60,6.2,297.6,10.9,D,0
20.7549,-77.1595,310.2,1.9,1.4,2000-11-10,1628,Terra,MODIS,47,6.2,297,10.5,D,0
22.6937,-81.2858,315.1,1.1,1,2000-11-12,1615,Terra,MODIS,45,6.2,299.4,7.6,D,0
22.6845,-81.2872,316.6,1.1,1,2000-11-12,1615,Terra,MODIS,62,6.2,298.8,8.9,D,0
22.6556,-81.267,314.6,1.1,1,2000-11-12,1615,Terra,MODIS,59,6.2,301.4,6,D,0
22.6016,-81.079,318.9,1,1,2000-11-12,1615,Terra,MODIS,71,6.2,301.7,10.4,D,0
22.6002,-81.069,314.1,1,1,2000-11-12,1615,Terra,MODIS,54,6.2,301.3,6.4,D,0
22.5859,-81.0609,311.3,1.5,1.2,2000-11-14,1603,Terra,MODIS,42,6.2,299.1,8.6,D,0
21.4723,-78.0518,311.7,1,1,2000-11-14,1603,Terra,MODIS,39,6.2,300.2,4.5,D,0
21.1985,-76.6675,317.2,1,1,2000-11-14,1603,Terra,MODIS,65,6.2,304.3,7.2,D,0
21.806,-82.8006,311.9,1.9,1.3,2000-11-14,1603,Terra,MODIS,45,6.2,295.2,15.5,D,0
21.1109,-78.3657,323.8,1,1,2000-11-14,1603,Terra,MODIS,76,6.2,303.1,14.5,D,0
20.9212,-77.0334,315.4,1,1,2000-11-14,1603,Terra,MODIS,60,6.2,303,5.4,D,0
20.7882,-77.0093,315.3,1,1,2000-11-14,1603,Terra,MODIS,52,6.2,302.5,5.3,D,0
20.7086,-76.9704,326.8,1,1,2000-11-14,1603,Terra,MODIS,79,6.2,305.2,16.1,D,0
20.7222,-77.5084,338.1,1.3,1.1,2000-11-16,1551,Terra,MODIS,88,6.2,301.5,50.6,D,0
20.3879,-76.815,316.3,1.2,1.1,2000-11-16,1551,Terra,MODIS,63,6.2,302.3,9,D,0
20.3037,-77.1012,315,1.2,1.1,2000-11-16,1551,Terra,MODIS,62,6.2,300.5,6.9,D,0
20.2933,-77.0204,326.3,1.2,1.1,2000-11-16,1551,Terra,MODIS,79,6.2,302.6,21.2,D,0
20.2918,-77.0088,315.3,1.2,1.1,2000-11-16,1551,Terra,MODIS,43,6.2,301.2,6.3,D,0
20.2835,-77.0217,314.1,1.2,1.1,2000-11-16,1551,Terra,MODIS,36,6.2,300,5.1,D,0
22.9631,-81.3252,313,1.2,1.1,2000-11-17,1633,Terra,MODIS,56,6.2,302.7,9.1,D,0
22.9612,-81.3137,317.6,1.2,1.1,2000-11-17,1633,Terra,MODIS,68,6.2,301.3,14,D,0
22.6386,-81.2246,328,1.2,1.1,2000-11-17,1633,Terra,MODIS,81,6.2,302.9,25.5,D,0
21.2755,-78.2384,322.3,1.3,1.1,2000-11-19,1621,Terra,MODIS,75,6.2,301.5,17.5,D,0
21.2735,-78.2263,322.1,1.3,1.1,2000-11-19,1621,Terra,MODIS,75,6.2,301.8,17,D,0
22.4853,-83.3276,309.9,1.7,1.3,2000-11-21,1609,Terra,MODIS,61,6.2,292.8,11.2,D,0
20.4398,-76.9427,318.9,1.1,1,2000-11-21,1609,Terra,MODIS,69,6.2,300,10.4,D,0
21.6068,-79.0874,302.5,1,1,2000-11-23,0347,Terra,MODIS,50,6.2,287.9,6.3,N,0
22.689,-81.2362,331.4,2,1.4,2000-11-23,1557,Terra,MODIS,86,6.2,293.3,69.8,D,0
20.4904,-76.8714,319.3,3.5,1.8,2000-11-24,1640,Terra,MODIS,75,6.2,296.4,64.3,D,0
20.4958,-76.8756,315.4,3.5,1.8,2000-11-24,1640,Terra,MODIS,64,6.2,296.4,47.5,D,0
20.4893,-76.8431,312.5,3.5,1.8,2000-11-24,1640,Terra,MODIS,55,6.2,296.9,32.1,D,0
20.8055,-77.8953,319.7,1.8,1.3,2000-11-25,1545,Terra,MODIS,69,6.2,299.3,20.8,D,0
21.3665,-78.45,311.3,1.1,1,2000-11-28,1615,Terra,MODIS,57,6.2,296.1,8.2,D,0
20.2555,-77.0072,344.1,1.3,1.1,2000-11-28,1615,Terra,MODIS,92,6.2,303.7,57,D,0
20.2536,-76.9954,337.2,1.3,1.1,2000-11-28,1615,Terra,MODIS,88,6.2,303.8,39.9,D,0
22.5766,-82.9873,309.9,1,1,2000-12-03,1633,Terra,MODIS,57,6.2,294.8,5.1,D,0
22.15,-80.7319,303.8,1.9,1.3,2000-12-04,0328,Terra,MODIS,57,6.2,289.8,15,N,0
22.8034,-81.7567,316,1,1,2000-12-12,1627,Terra,MODIS,67,6.2,299.1,7.7,D,0
22.8019,-81.7469,315.1,1,1,2000-12-12,1627,Terra,MODIS,66,6.2,300,6.5,D,0
22.7422,-82.0232,318.5,1,1,2000-12-12,1627,Terra,MODIS,72,6.2,297.4,11.2,D,0
22.5375,-81.0609,310.7,1.1,1,2000-12-12,1627,Terra,MODIS,52,6.2,297.8,4.9,D,0
21.8371,-78.3572,309.4,1.5,1.2,2000-12-12,1627,Terra,MODIS,51,6.2,295.7,8.4,D,0
22.4934,-83.1447,313.4,1,1,2000-12-12,1627,Terra,MODIS,66,6.2,295.3,6.1,D,0
21.6399,-79.11,312.7,1.4,1.2,2000-12-12,1627,Terra,MODIS,59,6.2,297.2,11.3,D,0
22.3386,-83.8041,310,1,1,2000-12-12,1627,Terra,MODIS,24,6.2,296.6,5,D,0
20.3803,-76.8356,321.3,2.5,1.5,2000-12-13,1532,Terra,MODIS,76,6.2,299.3,49.1,D,0
20.3578,-76.8864,324.5,2.5,1.5,2000-12-13,1532,Terra,MODIS,80,6.2,298,66.2,D,0
20.3513,-76.8942,320.4,2.5,1.5,2000-12-13,1532,Terra,MODIS,75,6.2,298,49.6,D,0
21.0652,-78.3671,303.4,1.8,1.3,2000-12-14,0405,Terra,MODIS,55,6.2,292.1,11.8,N,0
23.0873,-81.2696,311.1,1.1,1,2000-12-14,1614,Terra,MODIS,64,6.2,300.3,5.3,D,0
22.581,-83.0087,318.4,1.3,1.1,2000-12-14,1614,Terra,MODIS,73,6.2,300.4,13.2,D,0
22.5794,-82.9964,314.8,1.3,1.1,2000-12-14,1614,Terra,MODIS,62,6.2,301.1,9.1,D,0
21.3499,-78.525,309.4,1.1,1,2000-12-14,1615,Terra,MODIS,43,6.2,295.1,5.2,D,0
20.5232,-76.3586,312.1,1.4,1.2,2000-12-14,1615,Terra,MODIS,53,6.2,297.8,7.7,D,0
20.4075,-76.8402,318.2,1.3,1.1,2000-12-14,1615,Terra,MODIS,71,6.2,301.6,12.5,D,0
20.4055,-76.8281,317.4,1.3,1.1,2000-12-14,1615,Terra,MODIS,70,6.2,301.6,11.2,D,0
20.3127,-76.8264,321.6,1.3,1.1,2000-12-14,1615,Terra,MODIS,76,6.2,301,18.9,D,0
20.3107,-76.8143,316.1,1.3,1.1,2000-12-14,1615,Terra,MODIS,69,6.2,301.1,11.6,D,0
22.138,-80.6448,312.4,1.4,1.2,2000-12-16,1602,Terra,MODIS,63,6.2,298.7,9.5,D,0
20.6744,-76.9156,328.2,1,1,2000-12-16,1603,Terra,MODIS,82,6.2,297.9,20,D,0
