latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.4228,126.9877,306,1.4,1.2,2000-11-02,0223,Terra,MODIS,63,6.2,290.5,10.2,D,0
40.3486,125.205,306.7,1.2,1.1,2000-11-03,0305,Terra,MODIS,64,6.2,287,11,D,0
40.3314,125.1862,304.1,1.2,1.1,2000-11-03,0305,Terra,MODIS,58,6.2,288.1,8.9,D,0
40.0884,125.7719,302.1,1.3,1.1,2000-11-03,0305,Terra,MODIS,51,6.2,287.8,8.2,D,0
40.0856,125.7866,317.5,1.3,1.1,2000-11-03,0305,Terra,MODIS,78,6.2,287.4,24.8,D,0
38.568,127.248,310.7,1.7,1.3,2000-11-03,0305,Terra,MODIS,70,6.2,288.5,22.1,D,0
39.2078,127.1071,303.2,2.2,1.4,2000-11-04,1315,Terra,MODIS,54,6.2,281.6,27.6,N,0
41.2239,129.4901,300.8,1.4,1.2,2000-11-05,0252,Terra,MODIS,41,6.2,289.3,5.7,D,0
39.2163,127.0632,319.6,1.1,1.1,2000-11-05,0253,Terra,MODIS,79,6.2,288.4,23.7,D,0
39.214,127.0768,307.1,1.2,1.1,2000-11-05,0253,Terra,MODIS,58,6.2,288.4,10.7,D,0
39.2071,127.1169,319.1,1.2,1.1,2000-11-05,0253,Terra,MODIS,79,6.2,290,21.6,D,0
39.2458,126.6036,308,1.1,1,2000-11-05,0253,Terra,MODIS,66,6.2,287,10.4,D,0
38.9713,126.5218,314,1.1,1,2000-11-05,0253,Terra,MODIS,74,6.2,287.6,16.4,D,0
38.9692,126.5344,303.2,1.1,1,2000-11-05,0253,Terra,MODIS,55,6.2,287.2,7.9,D,0
38.4186,128.1733,307.1,1.3,1.1,2000-11-05,0253,Terra,MODIS,65,6.2,286.8,11.9,D,0
38.574,127.2588,304.9,1.2,1.1,2000-11-05,0253,Terra,MODIS,60,6.2,286.8,9.3,D,0
38.5352,127.4761,309.6,1.2,1.1,2000-11-05,0253,Terra,MODIS,69,6.2,287,14,D,0
38.5328,127.4898,303.4,1.2,1.1,2000-11-05,0253,Terra,MODIS,56,6.2,286.8,8.6,D,0
38.5771,127.2582,301.3,1.1,1,2000-11-05,1357,Terra,MODIS,40,6.2,276.5,10.8,N,0
39.214,127.0626,308.7,1.1,1,2000-11-05,1358,Terra,MODIS,75,6.2,280.7,14.2,N,0
39.2125,127.0498,303.7,1.1,1,2000-11-05,1358,Terra,MODIS,56,6.2,279.1,10.6,N,0
38.7856,127.9306,302.3,3,1.7,2000-11-06,1303,Terra,MODIS,48,6.2,279,43,N,0
39.2232,127.0633,310.2,3.3,1.7,2000-11-06,1303,Terra,MODIS,57,6.2,279.7,71.5,N,0
39.2192,127.0602,307.8,3.3,1.7,2000-11-06,1303,Terra,MODIS,57,6.2,279.8,68.9,N,0
39.5482,127.3963,304.6,1,1,2000-11-07,0241,Terra,MODIS,52,6.2,286.5,6.6,D,0
39.3577,127.3732,306.7,1,1,2000-11-07,0241,Terra,MODIS,48,6.2,284.2,8.5,D,0
38.9741,127.7109,337.5,1,1,2000-11-07,0241,Terra,MODIS,91,6.2,288.8,40.7,D,0
38.9724,127.7224,309,1,1,2000-11-07,0241,Terra,MODIS,68,6.2,288.6,9.3,D,0
38.7839,127.9248,330.8,1,1,2000-11-07,0241,Terra,MODIS,87,6.2,288,31.1,D,0
38.7822,127.9361,323.6,1,1,2000-11-07,0241,Terra,MODIS,82,6.2,285.7,22.3,D,0
38.5348,127.6192,300.4,1,1,2000-11-07,0241,Terra,MODIS,36,6.2,281,5.6,D,0
38.5702,127.2633,300.6,1,1,2000-11-07,0241,Terra,MODIS,40,6.2,286,5.3,D,0
38.785,127.9507,306.2,1,1,2000-11-07,1345,Terra,MODIS,61,6.2,267.3,11.9,N,0
38.7939,127.9486,318.7,1,1,2000-11-07,1345,Terra,MODIS,39,6.2,269,20.2,N,0
38.9726,127.7119,315.3,1,1,2000-11-07,1345,Terra,MODIS,53,6.2,274.8,17.3,N,0
38.9184,127.3364,300.3,1,1,2000-11-07,1345,Terra,MODIS,24,6.2,268,9.5,N,0
38.9831,127.7212,323,1,1,2000-11-07,1345,Terra,MODIS,50,6.2,275.7,23.7,N,0
39.3268,127.5435,325.3,1,1,2000-11-07,1345,Terra,MODIS,95,6.2,275.2,0,N,0
39.9332,127.7894,316.4,1,1,2000-11-07,1346,Terra,MODIS,42,6.2,272.4,18.6,N,0
39.9421,127.7872,304.5,1,1,2000-11-07,1346,Terra,MODIS,19,6.2,271.2,10.4,N,0
39.9405,127.7756,306.9,1,1,2000-11-07,1346,Terra,MODIS,33,6.2,270.5,11.9,N,0
40.0804,127.3944,325.4,1,1,2000-11-07,1346,Terra,MODIS,59,6.2,271.6,26.8,N,0
40.0771,127.3713,322,1,1,2000-11-07,1346,Terra,MODIS,0,6.2,274.3,22.5,N,0
40.1593,127.8912,318.6,1,1,2000-11-07,1346,Terra,MODIS,85,6.2,272.6,21,N,0
40.0859,127.3691,346.4,1,1,2000-11-07,1346,Terra,MODIS,84,6.2,274.6,57.7,N,0
40.1764,127.8804,311.8,1,1,2000-11-07,1346,Terra,MODIS,83,6.2,270.8,16.7,N,0
40.1748,127.8688,304.4,1,1,2000-11-07,1346,Terra,MODIS,60,6.2,269.8,11.4,N,0
40.2148,127.301,301.5,1,1,2000-11-07,1346,Terra,MODIS,42,6.2,267.1,10.5,N,0
40.3848,128.4698,325.8,1,1,2000-11-07,1346,Terra,MODIS,100,6.2,271.9,30.9,N,0
40.2253,127.3104,377.9,1,1,2000-11-07,1346,Terra,MODIS,100,6.2,272.8,149.9,N,0
40.2237,127.2988,323.9,1,1,2000-11-07,1346,Terra,MODIS,99,6.2,266.9,26.4,N,0
40.4889,128.5618,301.1,1,1,2000-11-07,1346,Terra,MODIS,38,6.2,265.5,10.5,N,0
40.4994,128.5712,321.2,1,1,2000-11-07,1346,Terra,MODIS,100,6.2,266.2,25.4,N,0
40.4979,128.5597,315.6,1,1,2000-11-07,1346,Terra,MODIS,82,6.2,267,19.8,N,0
40.4965,128.3391,307,1,1,2000-11-07,1346,Terra,MODIS,9,6.2,269.7,12.6,N,0
40.507,128.3486,320.9,1,1,2000-11-07,1346,Terra,MODIS,0,6.2,270.4,22.4,N,0
40.8459,129.3524,341.4,1.1,1,2000-11-07,1346,Terra,MODIS,100,6.2,272.4,57.8,N,0
40.8444,129.34,307.4,1.1,1,2000-11-07,1346,Terra,MODIS,54,6.2,270.2,15,N,0
40.886,129.3695,307.3,1.1,1,2000-11-07,1346,Terra,MODIS,53,6.2,270.7,15.4,N,0
40.5046,128.3589,301.4,3.3,1.7,2000-11-08,0323,Terra,MODIS,47,6.2,275.2,48.4,D,0
40.5091,128.3542,302.4,3.3,1.7,2000-11-08,0323,Terra,MODIS,52,6.2,275.4,51.9,D,0
38.9506,127.73,301.6,3.2,1.7,2000-11-08,1428,Terra,MODIS,43,6.2,271.2,53.5,N,0
38.9483,127.6877,302.1,3.2,1.7,2000-11-08,1428,Terra,MODIS,47,6.2,270.6,54.6,N,0
38.9624,127.7219,315.1,3.2,1.7,2000-11-08,1428,Terra,MODIS,90,6.2,271.6,100.4,N,0
40.5039,128.5527,331.7,1.1,1,2000-11-09,0228,Terra,MODIS,88,6.2,278.3,38,D,0
40.5022,128.5658,311.8,1.1,1,2000-11-09,0228,Terra,MODIS,72,6.2,276.8,15.4,D,0
40.1825,127.8859,301.7,1.1,1.1,2000-11-09,0228,Terra,MODIS,40,6.2,280,7.7,D,0
40.0991,127.3818,300.3,1.2,1.1,2000-11-09,0228,Terra,MODIS,35,6.2,281.2,6.6,D,0
40.0974,127.3953,304.4,1.2,1.1,2000-11-09,0228,Terra,MODIS,59,6.2,281.6,9.4,D,0
