latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-8.3362,26.6314,323.1,2,1.4,2000-11-01,0828,Terra,MODIS,44,6.2,297.9,20.1,D,0
4.6803,20.2617,308.2,4,1.9,2000-11-01,1003,Terra,MODIS,49,6.2,289.7,28.7,D,0
4.0542,20.0828,308.8,4,1.9,2000-11-01,1003,Terra,MODIS,55,6.2,288.2,34.8,D,0
4.0486,20.0771,308.1,4,1.9,2000-11-01,1003,Terra,MODIS,52,6.2,287.7,28.6,D,0
3.9685,18.8013,311.5,3.2,1.7,2000-11-01,1003,Terra,MODIS,62,6.2,290.7,25.9,D,0
3.7411,19.9097,313.2,3.9,1.8,2000-11-01,1003,Terra,MODIS,66,6.2,289.2,46.2,D,0
3.7351,19.9019,313.2,3.9,1.8,2000-11-01,1003,Terra,MODIS,66,6.2,289.6,49.4,D,0
3.6343,19.1787,307.6,3.4,1.7,2000-11-01,1003,Terra,MODIS,51,6.2,283.8,22.1,D,0
3.6393,19.1741,307.1,3.4,1.7,2000-11-01,1003,Terra,MODIS,44,6.2,283.5,19.4,D,0
-5.7288,26.9301,313.4,1.6,1.2,2000-11-02,0910,Terra,MODIS,59,6.2,293.8,12.6,D,0
-7.0012,27.8755,317.1,2,1.4,2000-11-02,0910,Terra,MODIS,61,6.2,297.1,22.2,D,0
-8.4317,26.6002,332.1,1.7,1.3,2000-11-02,0911,Terra,MODIS,79,6.2,297.8,42.2,D,0
-8.2464,26.8451,327.9,3.4,1.7,2000-11-03,0816,Terra,MODIS,70,6.2,292.5,98.6,D,0
-8.2415,26.8401,333.7,3.4,1.7,2000-11-03,0816,Terra,MODIS,75,6.2,292.5,145.8,D,0
-8.4323,26.6043,321.8,3.5,1.8,2000-11-03,0816,Terra,MODIS,75,6.2,291.9,65.8,D,0
3.52,19.4374,313.7,2.1,1.4,2000-11-03,0951,Terra,MODIS,66,6.2,293.9,18.6,D,0
3.5183,19.4315,313.2,2.1,1.4,2000-11-03,0951,Terra,MODIS,66,6.2,293.8,18,D,0
-3.53,16.8297,317.8,1.7,1.3,2000-11-03,0953,Terra,MODIS,70,6.2,295.9,20.2,D,0
-3.7518,16.7709,327.6,1.7,1.3,2000-11-03,0953,Terra,MODIS,81,6.2,296.3,38.3,D,0
-3.941,17.2856,319.2,1.9,1.3,2000-11-03,0953,Terra,MODIS,72,6.2,300.7,25,D,0
-4.3478,17.1818,314.2,1.9,1.3,2000-11-03,0953,Terra,MODIS,56,6.2,298,17.8,D,0
-4.9656,17.3189,312.9,1.9,1.4,2000-11-03,0953,Terra,MODIS,40,6.2,295.3,10.6,D,0
