latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.9373,-70.3419,300.9,1.4,1.2,2000-11-02,0328,Terra,MODIS,34,6.2,285,6.7,N,2
18.9352,-70.3439,316,1,1,2000-11-02,1539,Terra,MODIS,73,6.2,296.7,9.1,D,2
18.9277,-70.3549,316.2,1,1,2000-11-02,1539,Terra,MODIS,73,6.2,296,9.3,D,2
18.4488,-71.9164,310.8,1,1,2000-11-02,1539,Terra,MODIS,42,6.2,296.8,5,D,0
18.9347,-70.3415,362.5,1,1,2000-11-04,0315,Terra,MODIS,100,6.2,292.9,94.4,N,2
18.9334,-70.3509,356.8,1,1,2000-11-04,0315,Terra,MODIS,100,6.2,292.7,79,N,2
18.932,-70.3604,301.4,1,1,2000-11-04,0315,Terra,MODIS,31,6.2,290.8,4,N,2
18.9329,-70.3435,328.3,1.1,1.1,2000-11-04,1527,Terra,MODIS,84,6.2,299.6,25.9,D,2
18.9249,-70.3554,345.9,1.1,1.1,2000-11-04,1527,Terra,MODIS,94,6.2,299.5,57.7,D,2
18.9235,-70.3448,325.8,1.1,1.1,2000-11-04,1527,Terra,MODIS,82,6.2,297.9,22.2,D,2
18.93,-70.3494,313.4,3.1,1.7,2000-11-05,1610,Terra,MODIS,68,6.2,296.3,38.9,D,2
18.941,-70.3498,302.7,1.1,1.1,2000-11-06,0303,Terra,MODIS,51,6.2,288.4,6.6,N,2
18.9322,-70.3559,325,1.7,1.3,2000-11-06,1514,Terra,MODIS,80,6.2,299.9,37.2,D,2
18.9303,-70.3392,316.7,1.7,1.3,2000-11-06,1514,Terra,MODIS,70,6.2,299.4,19.3,D,2
18.9338,-70.346,314.3,1.7,1.3,2000-11-06,1514,Terra,MODIS,66,6.2,300.6,15.8,D,2
18.9241,-70.3634,312.8,1.7,1.3,2000-11-06,1514,Terra,MODIS,55,6.2,298.3,12.9,D,2
18.9222,-70.3469,326,1.7,1.3,2000-11-06,1514,Terra,MODIS,81,6.2,299,40.8,D,2
18.9271,-70.3499,312.2,2.9,1.6,2000-11-08,1502,Terra,MODIS,66,6.2,295,31.2,D,2
18.9263,-70.3572,310.3,2.9,1.6,2000-11-08,1502,Terra,MODIS,61,6.2,295.1,24,D,2
18.9399,-70.3409,321.6,1.2,1.1,2000-11-09,1545,Terra,MODIS,78,6.2,299.7,17.1,D,2
18.2053,-70.5507,315.8,1.2,1.1,2000-11-09,1545,Terra,MODIS,61,6.2,304.3,11.4,D,3
18.935,-70.3434,361.1,1.1,1.1,2000-11-11,0322,Terra,MODIS,100,6.2,294.1,106.4,N,2
18.9336,-70.3538,323.2,1.1,1.1,2000-11-11,0322,Terra,MODIS,100,6.2,292.3,24.7,N,2
18.9445,-70.3446,323.5,1.1,1.1,2000-11-11,0322,Terra,MODIS,100,6.2,291.9,25.4,N,2
18.9431,-70.3552,302,1.1,1.1,2000-11-11,0322,Terra,MODIS,46,6.2,291.4,5.2,N,2
18.9364,-70.3457,324.3,1,1,2000-11-11,1533,Terra,MODIS,80,6.2,303,16,D,2
18.9288,-70.3565,314.5,1,1,2000-11-11,1533,Terra,MODIS,33,6.2,300.6,6,D,2
18.9345,-70.3426,312.8,1.3,1.1,2000-11-13,1521,Terra,MODIS,49,6.2,293.6,9.7,D,2
18.7438,-69.9571,311,1.3,1.1,2000-11-13,1521,Terra,MODIS,27,6.2,295.7,7.2,D,0
18.9405,-70.3441,319.5,1,1,2000-11-18,1539,Terra,MODIS,73,6.2,302,12.1,D,2
18.924,-70.3496,321.9,1.1,1.1,2000-11-20,1527,Terra,MODIS,77,6.2,293.8,16.6,D,2
