latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.3328,-79.8175,321.9,4.1,1.9,2000-11-01,1640,Terra,MODIS,75,6.2,289.1,81.3,D,0
-1.7011,-80.2514,318,3.8,1.8,2000-11-01,1640,Terra,MODIS,69,6.2,290,60.4,D,0
-0.0451,-91.5626,316.1,1.1,1.1,2000-11-01,1640,Terra,MODIS,65,6.2,305.6,16.1,D,3
-1.691,-80.2586,320.6,3.8,1.8,2000-11-01,1640,Terra,MODIS,73,6.2,290.9,78.6,D,0
-4.1556,-80.0999,314.6,4.3,1.9,2000-11-01,1641,Terra,MODIS,62,6.2,294,52.8,D,0
-4.1583,-80.1044,316.1,4.3,1.9,2000-11-01,1641,Terra,MODIS,65,6.2,293.9,63.6,D,0
-4.3591,-79.9367,310.9,4.5,1.9,2000-11-01,1641,Terra,MODIS,44,6.2,292.1,46,D,0
-2.0023,-79.1635,325,1.3,1.1,2000-11-02,1545,Terra,MODIS,74,6.2,298.6,22.2,D,0
-2.078,-79.1317,328.9,1.3,1.1,2000-11-02,1545,Terra,MODIS,82,6.2,298.4,28.6,D,0
-2.6522,-79.3201,328,1.3,1.1,2000-11-02,1545,Terra,MODIS,78,6.2,296.7,30.7,D,0
-3.7317,-79.6202,336.9,1.3,1.1,2000-11-02,1545,Terra,MODIS,87,6.2,311.9,31.2,D,0
-3.8114,-79.7005,325.3,1.4,1.2,2000-11-02,1545,Terra,MODIS,76,6.2,306.1,14.7,D,0
-3.8381,-79.8045,354.8,1.4,1.2,2000-11-02,1545,Terra,MODIS,97,6.2,307.2,96.1,D,0
-3.84,-79.792,323.1,1.4,1.2,2000-11-02,1545,Terra,MODIS,29,6.2,306.4,12.1,D,0
-4.4015,-79.5191,327.5,1.3,1.1,2000-11-02,1545,Terra,MODIS,34,6.2,302.5,19.6,D,0
-4.3176,-79.2497,313,1,1,2000-11-03,0405,Terra,MODIS,86,6.2,287.2,13.7,N,0
-1.6982,-80.2196,318.9,2.2,1.4,2000-11-03,1628,Terra,MODIS,73,6.2,292,28.9,D,0
-1.9173,-80.0582,320.4,2.3,1.5,2000-11-03,1628,Terra,MODIS,51,6.2,299.2,23.4,D,0
-2.1269,-79.0898,316.7,2.8,1.6,2000-11-03,1628,Terra,MODIS,64,6.2,294.3,42.6,D,0
-2.1318,-79.057,312,2.8,1.6,2000-11-03,1628,Terra,MODIS,56,6.2,291.1,26.7,D,0
-3.8267,-79.7685,338,2.6,1.5,2000-11-03,1628,Terra,MODIS,89,6.2,300.4,132.7,D,0
-3.8406,-79.7699,315.9,2.6,1.5,2000-11-03,1628,Terra,MODIS,48,6.2,298.9,26.5,D,0
