latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.4778,37.3932,331.2,1,1,2000-11-01,0821,Terra,MODIS,30,6.2,313.3,12.2,D,0
14.2711,37.546,324.9,1,1,2000-11-01,0821,Terra,MODIS,66,6.2,309.5,9,D,0
14.2697,37.5552,327.2,1,1,2000-11-01,0821,Terra,MODIS,68,6.2,309.7,11.2,D,0
14.4368,37.3504,314.3,1.1,1.1,2000-11-02,1956,Terra,MODIS,89,6.2,296.1,12.7,N,0
14.4496,37.37,306.5,1.1,1.1,2000-11-02,1956,Terra,MODIS,55,6.2,295.2,6.2,N,0
14.4463,37.3488,323.3,1.1,1.1,2000-11-02,1956,Terra,MODIS,100,6.2,296.7,23.2,N,0
14.7312,38.007,308.8,1.1,1,2000-11-02,1956,Terra,MODIS,75,6.2,294.5,8.8,N,0
14.5915,37.0952,319,1.2,1.1,2000-11-02,1956,Terra,MODIS,98,6.2,296,18.8,N,0
14.6011,37.0938,305.4,1.2,1.1,2000-11-02,1956,Terra,MODIS,40,6.2,294.5,5.7,N,0
14.5884,37.0944,341.7,1.3,1.1,2000-11-03,0809,Terra,MODIS,86,6.2,311.8,47,D,0
14.5424,37.4464,331.2,2.7,1.6,2000-11-04,0852,Terra,MODIS,74,6.2,306.6,66.2,D,0
14.5379,37.4706,324.4,2.7,1.6,2000-11-04,0852,Terra,MODIS,37,6.2,308.5,33.8,D,0
14.5479,37.4657,324.9,2.7,1.6,2000-11-04,0852,Terra,MODIS,47,6.2,307.1,37.5,D,0
14.5382,37.439,328.4,2.7,1.6,2000-11-04,0852,Terra,MODIS,65,6.2,306.6,47.9,D,0
14.5208,37.5367,322.3,2.8,1.6,2000-11-04,0852,Terra,MODIS,33,6.2,306.9,30.8,D,0
14.4409,37.4965,322.8,2.7,1.6,2000-11-04,0852,Terra,MODIS,36,6.2,306,36.3,D,0
14.4249,37.4284,311.2,1.8,1.3,2000-11-04,1943,Terra,MODIS,69,6.2,295.2,19.4,N,0
14.4365,37.426,352.3,1.8,1.3,2000-11-04,1943,Terra,MODIS,100,6.2,296.4,151.3,N,0
14.4338,37.4096,344.2,1.8,1.3,2000-11-04,1943,Terra,MODIS,100,6.2,296.5,112.4,N,0
14.4435,37.4182,324.5,1.8,1.3,2000-11-04,1943,Terra,MODIS,100,6.2,295.4,45.4,N,0
14.4407,37.4018,308.7,1.8,1.3,2000-11-04,1943,Terra,MODIS,21,6.2,295.3,13,N,0
14.4722,37.4464,305.6,1.8,1.3,2000-11-04,1943,Terra,MODIS,65,6.2,295.6,11,N,0
14.4181,37.417,326.6,2.1,1.4,2000-11-05,0757,Terra,MODIS,49,6.2,308.4,21.4,D,0
14.398,37.3996,305.5,1.8,1.3,2000-11-05,2026,Terra,MODIS,65,6.2,292.8,13.7,N,0
14.5427,37.442,312.6,1.8,1.3,2000-11-05,2026,Terra,MODIS,85,6.2,293,24.5,N,0
14.5406,37.4249,314.9,1.8,1.3,2000-11-05,2026,Terra,MODIS,90,6.2,293.5,28.4,N,0
14.537,37.4372,312.5,1.8,1.3,2000-11-05,2026,Terra,MODIS,85,6.2,293.3,25,N,0
14.5488,37.4352,309.5,1.8,1.3,2000-11-05,2026,Terra,MODIS,78,6.2,293.1,21,N,0
14.8212,37.7855,331.2,1.1,1,2000-11-08,0827,Terra,MODIS,77,6.2,307.1,20.1,D,0
14.8196,37.7954,324.5,1.1,1,2000-11-08,0827,Terra,MODIS,63,6.2,305.9,10.8,D,0
14.5614,37.4467,326.4,1.1,1,2000-11-08,0828,Terra,MODIS,60,6.2,308.2,9.8,D,0
14.56,37.4563,335.7,1.1,1,2000-11-08,0828,Terra,MODIS,82,6.2,305.9,22.7,D,0
14.7987,37.6256,324.5,1.1,1,2000-11-10,0815,Terra,MODIS,48,6.2,310.5,8.6,D,0
