latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.8932,9.8603,319.5,1,1,2000-11-01,1005,Terra,MODIS,69,6.2,292.1,12.6,D,2
-1.9298,9.8687,303,1.8,1.3,2000-11-01,2225,Terra,MODIS,47,6.2,279.5,14.6,N,2
-1.888,9.8559,305.7,1.8,1.3,2000-11-01,2225,Terra,MODIS,63,6.2,287,17.4,N,2
-2.0728,9.8104,323.1,1.1,1.1,2000-11-03,2213,Terra,MODIS,100,6.2,292.2,23.6,N,2
-2.0742,9.8004,305.8,1.1,1.1,2000-11-03,2213,Terra,MODIS,66,6.2,291.8,6.5,N,2
-1.9626,9.8701,317.5,1.1,1.1,2000-11-03,2213,Terra,MODIS,95,6.2,291.9,17.6,N,2
-1.9531,9.8687,311.6,1.1,1.1,2000-11-03,2213,Terra,MODIS,83,6.2,291.6,11.7,N,0
-1.8961,9.8604,311.1,1.1,1.1,2000-11-03,2213,Terra,MODIS,82,6.2,291.6,11.2,N,2
-1.8976,9.8503,305.3,1.1,1.1,2000-11-03,2213,Terra,MODIS,64,6.2,291.6,6.2,N,0
-1.8924,9.854,315,1.1,1.1,2000-11-03,2213,Terra,MODIS,90,6.2,291.8,14.8,N,2
-1.6372,9.8772,303.2,1.1,1.1,2000-11-03,2213,Terra,MODIS,54,6.2,291.8,4.5,N,2
-2.069,9.8109,315.6,1,1,2000-11-05,2201,Terra,MODIS,92,6.2,288.7,15.6,N,2
-2.0703,9.8018,305.5,1,1,2000-11-05,2201,Terra,MODIS,64,6.2,289.2,7.5,N,0
-1.1408,10.3672,303,1.9,1.4,2000-11-06,1023,Terra,MODIS,6,6.2,279.5,8.4,D,0
-2.0776,9.8109,303.2,2.4,1.5,2000-11-08,2231,Terra,MODIS,54,6.2,288.7,15.1,N,2
-1.8935,9.8592,317.9,1.4,1.2,2000-11-12,0946,Terra,MODIS,70,6.2,295.3,16,D,2
-1.9273,9.8674,317.3,1.4,1.2,2000-11-12,0946,Terra,MODIS,69,6.2,295.4,14.3,D,0
-1.9334,9.8735,315.3,1.4,1.2,2000-11-12,0946,Terra,MODIS,60,6.2,295.5,11.1,D,2
-2.0697,9.8079,322.7,1.4,1.2,2000-11-12,0947,Terra,MODIS,78,6.2,294.6,25.2,D,2
-2.0748,9.8073,306.6,3.1,1.7,2000-11-15,2237,Terra,MODIS,47,6.2,287.1,38.6,N,2
-2.0737,9.8128,314.1,1,1,2000-11-17,1005,Terra,MODIS,0,6.2,283.6,8.9,D,2
-1.9575,9.8687,312.6,1,1,2000-11-21,2201,Terra,MODIS,85,6.2,277.9,15.1,N,2
-0.7675,14.4121,321.1,1.5,1.2,2000-11-23,0927,Terra,MODIS,74,6.2,296.7,18.6,D,0
-1.9576,9.8779,311,3.3,1.7,2000-11-23,0928,Terra,MODIS,46,6.2,288.4,34.2,D,2
-2.0667,9.8162,303.1,2.5,1.5,2000-11-25,2136,Terra,MODIS,29,6.2,288,21.6,N,2
-2.0697,9.7936,300.5,2.6,1.5,2000-11-25,2136,Terra,MODIS,27,6.2,288,13.8,N,0
-2.0743,9.8107,306.9,2.5,1.5,2000-11-25,2136,Terra,MODIS,67,6.2,288,30.4,N,2
-1.9551,9.8631,305.1,2.5,1.5,2000-11-25,2136,Terra,MODIS,63,6.2,288.2,20.8,N,2
-1.962,9.8588,301.5,2.5,1.5,2000-11-25,2136,Terra,MODIS,33,6.2,288.2,12.9,N,0
-1.9315,9.8772,302.7,2.5,1.5,2000-11-25,2136,Terra,MODIS,51,6.2,288.2,15.2,N,2
-1.9347,9.8549,301.3,2.5,1.5,2000-11-25,2136,Terra,MODIS,39,6.2,288.2,12.6,N,0
-1.637,9.8758,312.9,1,1,2000-11-26,0958,Terra,MODIS,61,6.2,293.6,6.1,D,2
-1.8923,9.858,318.6,1,1,2000-11-26,0958,Terra,MODIS,72,6.2,290.2,11.4,D,2
-1.9311,9.871,328.4,1,1,2000-11-26,0958,Terra,MODIS,82,6.2,293.5,21.6,D,2
-1.9596,9.8762,312.7,1,1,2000-11-26,0958,Terra,MODIS,60,6.2,293.6,5.5,D,2
-2.0073,9.8259,312.5,1,1,2000-11-26,0958,Terra,MODIS,36,6.2,293,5.9,D,0
