latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.1378,-91.3858,318.6,1.7,1.3,2000-11-01,1636,Terra,MODIS,39,6.2,300.6,18.6,D,0
14.7418,-91.5645,305.3,2.1,1.4,2000-11-02,0505,Terra,MODIS,64,6.2,282.6,27.1,N,2
16.3256,-89.9488,312.2,2.2,1.4,2000-11-02,1718,Terra,MODIS,68,6.2,296.4,21.1,D,0
14.7349,-91.5734,308.7,2.7,1.6,2000-11-03,0410,Terra,MODIS,75,6.2,285.8,45.4,N,2
14.7404,-91.5646,306.3,1.3,1.1,2000-11-04,0453,Terra,MODIS,67,6.2,284,14,N,2
14.739,-91.5754,301.2,1.3,1.1,2000-11-04,0453,Terra,MODIS,38,6.2,284.2,9.5,N,2
14.0765,-91.4744,315.3,1.2,1.1,2000-11-04,1707,Terra,MODIS,45,6.2,297.9,9,D,0
16.6056,-89.2961,312.8,1,1,2000-11-06,1654,Terra,MODIS,63,6.2,299.3,7.2,D,0
15.6512,-89.0875,310.6,1.1,1,2000-11-06,1654,Terra,MODIS,56,6.2,298.1,5.2,D,0
15.3348,-89.1243,310,1.1,1,2000-11-06,1654,Terra,MODIS,58,6.2,298,5.5,D,0
16.5916,-89.2977,313.5,1.1,1,2000-11-08,1642,Terra,MODIS,60,6.2,303.4,6.8,D,0
16.0988,-89.5853,315.4,1.1,1.1,2000-11-08,1642,Terra,MODIS,61,6.2,302.6,9.4,D,0
14.7409,-91.5946,304.6,4.1,1.9,2000-11-12,1618,Terra,MODIS,22,6.2,285.1,34.9,D,0
16.2515,-90.11,311.6,1.1,1,2000-11-13,1700,Terra,MODIS,60,6.2,299.7,5.8,D,0
15.9056,-89.6667,320.4,1.2,1.1,2000-11-13,1700,Terra,MODIS,75,6.2,297.9,16.2,D,0
15.8786,-90.7465,309.8,1,1,2000-11-13,1700,Terra,MODIS,54,6.2,296.7,4.7,D,0
14.7415,-91.5709,330.1,1.1,1,2000-11-15,0435,Terra,MODIS,100,6.2,286.2,34.6,N,2
14.0928,-90.8221,311.8,1.1,1,2000-11-15,1648,Terra,MODIS,49,6.2,300,4.5,D,0
14.0914,-90.8125,314.5,1.1,1,2000-11-15,1648,Terra,MODIS,61,6.2,301.6,6.8,D,0
14.7347,-91.5777,305.6,3.7,1.8,2000-11-16,0518,Terra,MODIS,34,6.2,285.3,55.6,N,2
