latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
6.7768,-58.0991,319.3,1.7,1.3,2000-11-01,1459,Terra,MODIS,75,6.2,294.8,20.2,D,0
3.7867,-59.5981,319.9,1.5,1.2,2000-11-01,1500,Terra,MODIS,65,6.2,292.1,13.5,D,0
3.0907,-59.6894,341.1,1.5,1.2,2000-11-01,1500,Terra,MODIS,91,6.2,294.2,67.7,D,0
3.0883,-59.6962,327.8,1.5,1.2,2000-11-01,1500,Terra,MODIS,83,6.2,295,30.9,D,0
3.0864,-59.6829,325.1,1.5,1.2,2000-11-01,1500,Terra,MODIS,80,6.2,293.6,25.8,D,0
2.6062,-59.6174,317.6,1.6,1.2,2000-11-01,1500,Terra,MODIS,55,6.2,287.3,13.7,D,0
3.8847,-59.5438,309.8,1.2,1.1,2000-11-03,0228,Terra,MODIS,76,6.2,295,9.4,N,0
7.3495,-58.7677,316.7,1,1,2000-11-03,1446,Terra,MODIS,65,6.2,295.5,8.8,D,0
7.3481,-58.7584,317.2,1,1,2000-11-03,1446,Terra,MODIS,64,6.2,297.4,8.9,D,0
6.141,-57.3355,322.7,1.2,1.1,2000-11-03,1447,Terra,MODIS,76,6.2,298.7,13.2,D,0
5.9176,-58.2418,319.4,1.1,1,2000-11-03,1447,Terra,MODIS,69,6.2,294.4,14,D,0
5.7809,-57.7848,317.1,1.2,1.1,2000-11-03,1447,Terra,MODIS,24,6.2,298.5,10.1,D,0
5.748,-57.7854,315.3,1.2,1.1,2000-11-03,1447,Terra,MODIS,11,6.2,297.7,9.4,D,0
5.7254,-57.8314,323.5,1.2,1.1,2000-11-03,1447,Terra,MODIS,20,6.2,301.9,16.1,D,0
5.6527,-57.6981,318.1,1.2,1.1,2000-11-03,1447,Terra,MODIS,61,6.2,300.2,12.8,D,0
5.6741,-57.9084,321.2,1.2,1.1,2000-11-03,1447,Terra,MODIS,31,6.2,301.8,13,D,0
5.6642,-57.9729,320.5,1.1,1.1,2000-11-03,1447,Terra,MODIS,55,6.2,300.5,15.4,D,0
5.4714,-58.0451,320.9,1.1,1.1,2000-11-03,1447,Terra,MODIS,17,6.2,301.6,13.8,D,0
3.8558,-59.4992,325,1,1,2000-11-03,1447,Terra,MODIS,52,6.2,304.9,14.2,D,0
3.4662,-59.7274,328.7,1,1,2000-11-03,1448,Terra,MODIS,79,6.2,301.4,12.7,D,0
3.4571,-59.7287,327.4,1,1,2000-11-03,1448,Terra,MODIS,78,6.2,301.8,10.8,D,0
3.2544,-59.8542,322.3,1,1,2000-11-03,1448,Terra,MODIS,53,6.2,299.4,8.2,D,0
3.253,-59.8451,332,1,1,2000-11-03,1448,Terra,MODIS,83,6.2,300.4,19.4,D,0
3.0267,-59.5613,318.6,1,1,2000-11-03,1448,Terra,MODIS,57,6.2,293.9,9.2,D,0
2.7006,-59.2901,325.2,1.1,1,2000-11-03,1448,Terra,MODIS,77,6.2,302,9.3,D,0
2.6914,-59.2915,324,1.1,1,2000-11-03,1448,Terra,MODIS,75,6.2,301.1,7.8,D,0
2.69,-59.2819,326.4,1.1,1,2000-11-03,1448,Terra,MODIS,78,6.2,301.2,10.8,D,0
2.4803,-59.4761,322.4,1.1,1,2000-11-03,1448,Terra,MODIS,74,6.2,295.7,8.6,D,0
2.2967,-59.5438,325.8,1.1,1,2000-11-03,1448,Terra,MODIS,62,6.2,300.3,12.2,D,0
6.3669,-57.6757,320.5,1,1,2000-11-05,1435,Terra,MODIS,72,6.2,298.9,6.3,D,0
6.2957,-57.6922,319.6,1,1,2000-11-05,1435,Terra,MODIS,51,6.2,296,8.5,D,0
5.2993,-57.3655,318.6,1,1,2000-11-05,1435,Terra,MODIS,34,6.2,299.5,9.4,D,0
