latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.0774,-72.7998,315.3,1,1,2000-11-09,1545,Terra,MODIS,0,6.2,300.9,7.1,D,0
18.9339,-72.2605,319.2,1,1,2000-11-25,1545,Terra,MODIS,71,6.2,300,9.2,D,0
19.2808,-72.2594,317.9,1.3,1.1,2000-12-09,1556,Terra,MODIS,73,6.2,302.9,13.6,D,0
19.1215,-72.4128,321,1.3,1.1,2000-12-09,1556,Terra,MODIS,76,6.2,302.5,17.8,D,0
19.4966,-72.5872,324.4,1.2,1.1,2000-12-13,1532,Terra,MODIS,80,6.2,302.1,18.4,D,0
18.709,-72.3498,317,2.9,1.6,2000-12-14,1615,Terra,MODIS,0,6.2,300,32.4,D,0
18.665,-72.2765,322.8,2.9,1.6,2000-12-14,1615,Terra,MODIS,70,6.2,299.6,53.1,D,0
18.6633,-72.2833,322.2,2.9,1.6,2000-12-14,1615,Terra,MODIS,65,6.2,299.5,55.4,D,0
19.0809,-72.3719,301,1.6,1.2,2000-12-18,0339,Terra,MODIS,36,6.2,290.6,7.1,N,0
18.9102,-71.9521,313.7,1.1,1.1,2000-12-18,1551,Terra,MODIS,49,6.2,299.8,6.8,D,0
