latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-3.0334,133.0733,317.4,1,1,2000-11-01,0151,Terra,MODIS,63,6.2,300.9,8.2,D,0
1.2473,109.6869,318.1,1,1,2000-11-01,0328,Terra,MODIS,59,6.2,294.9,9.7,D,0
1.3812,100.1306,313.9,3.4,1.7,2000-11-01,0329,Terra,MODIS,45,6.2,277.1,50.3,D,0
0.8381,101.5897,346.1,2.5,1.5,2000-11-01,0329,Terra,MODIS,94,6.2,293.5,186,D,0
0.8349,101.6121,335.3,2.5,1.5,2000-11-01,0329,Terra,MODIS,88,6.2,294.2,115.5,D,0
0.8455,101.5838,324,2.5,1.5,2000-11-01,0329,Terra,MODIS,80,6.2,293.8,55.8,D,0
0.8421,101.6062,332.7,2.5,1.5,2000-11-01,0329,Terra,MODIS,86,6.2,293.9,96.7,D,0
0.8284,101.6042,318.7,2.5,1.5,2000-11-01,0329,Terra,MODIS,55,6.2,293,36.3,D,0
-0.2439,101.5847,329.6,2.4,1.5,2000-11-01,0329,Terra,MODIS,83,6.2,293.6,74.9,D,0
-0.2573,101.5827,320,2.4,1.5,2000-11-01,0329,Terra,MODIS,45,6.2,292.5,40.7,D,0
-0.2516,101.5764,324.4,2.4,1.5,2000-11-01,0329,Terra,MODIS,56,6.2,293,53.6,D,0
-2.27,111.008,317.2,1.3,1.1,2000-11-01,0329,Terra,MODIS,62,6.2,289.7,14,D,0
-3.68,104.0105,310.1,1.4,1.2,2000-11-01,0330,Terra,MODIS,41,6.2,281.2,9.4,D,0
-3.2314,126.7614,303.6,1.1,1,2000-11-01,1411,Terra,MODIS,56,6.2,289.5,5.5,N,0
-1.0068,103.9591,305.6,1,1,2000-11-01,1550,Terra,MODIS,65,6.2,287.8,5.6,N,0
-1.008,103.9501,330.2,1,1,2000-11-01,1550,Terra,MODIS,100,6.2,288,28.7,N,0
0.7818,101.5788,340.6,1.1,1,2000-11-01,1551,Terra,MODIS,100,6.2,290,46.3,N,0
0.7805,101.5695,313.9,1.1,1,2000-11-01,1551,Terra,MODIS,88,6.2,289.7,11.6,N,0
0.8961,102.1271,300.8,1,1,2000-11-01,1551,Terra,MODIS,34,6.2,272.7,5.6,N,0
0.8307,101.6036,337.5,1,1,2000-11-01,1551,Terra,MODIS,100,6.2,291.6,39.9,N,0
0.8293,101.5942,355.6,1,1,2000-11-01,1551,Terra,MODIS,100,6.2,293,77.9,N,0
0.828,101.5849,324.1,1.1,1,2000-11-01,1551,Terra,MODIS,100,6.2,291,21.3,N,0
0.8411,101.6116,305.5,1,1,2000-11-01,1551,Terra,MODIS,64,6.2,289.8,5.1,N,0
0.8398,101.6022,327.9,1,1,2000-11-01,1551,Terra,MODIS,100,6.2,290.7,25.9,N,0
0.8385,101.5929,353.8,1,1,2000-11-01,1551,Terra,MODIS,100,6.2,291.5,73.2,N,0
0.8372,101.5836,325.5,1.1,1,2000-11-01,1551,Terra,MODIS,100,6.2,290.2,22.9,N,0
0.8476,101.5916,313.7,1,1,2000-11-01,1551,Terra,MODIS,88,6.2,289.3,11,N,0
0.8463,101.5823,307.6,1.1,1,2000-11-01,1551,Terra,MODIS,72,6.2,289.3,6.7,N,0
0.9931,101.7726,306.5,1,1,2000-11-01,1551,Terra,MODIS,68,6.2,284.8,6.3,N,0
0.9918,101.7634,326.4,1,1,2000-11-01,1551,Terra,MODIS,100,6.2,285.8,24.6,N,0
1.0098,101.7639,302.1,1,1,2000-11-01,1551,Terra,MODIS,47,6.2,285.7,4.1,N,0
0.9817,100.9296,305.9,1.1,1,2000-11-01,1551,Terra,MODIS,62,6.2,289.7,6.5,N,0
0.9854,100.8888,306.7,1.1,1.1,2000-11-01,1551,Terra,MODIS,69,6.2,290.9,6.2,N,0
0.984,100.8789,307.8,1.1,1.1,2000-11-01,1551,Terra,MODIS,72,6.2,290.9,7,N,0
1.1359,100.5889,308.1,1.1,1.1,2000-11-01,1551,Terra,MODIS,73,6.2,290.1,8.2,N,0
1.1344,100.5787,320.3,1.1,1.1,2000-11-01,1551,Terra,MODIS,100,6.2,290,20.5,N,0
1.2862,100.9273,302.4,1.1,1,2000-11-01,1551,Terra,MODIS,49,6.2,289,3.9,N,0
1.4776,101.2412,301.2,1.1,1,2000-11-01,1551,Terra,MODIS,38,6.2,287.7,3.8,N,0
1.3857,100.1305,311.1,1.2,1.1,2000-11-01,1551,Terra,MODIS,82,6.2,287,12.9,N,0
1.4303,100.2157,303,1.2,1.1,2000-11-01,1551,Terra,MODIS,53,6.2,289.3,5.3,N,0
-6.6109,140.5213,323.9,1.8,1.3,2000-11-02,0056,Terra,MODIS,48,6.2,294.5,32.3,D,0
-8.9042,140.9299,321.7,1.5,1.2,2000-11-02,0057,Terra,MODIS,41,6.2,301.8,12.8,D,0
-8.9063,140.9436,324.1,1.5,1.2,2000-11-02,0057,Terra,MODIS,68,6.2,302,16.6,D,0
-8.9079,140.9367,325.6,1.5,1.2,2000-11-02,0057,Terra,MODIS,54,6.2,302,19,D,0
0.3639,123.3063,314.7,1,1,2000-11-02,0233,Terra,MODIS,64,6.2,289,8.8,D,0
-1.0447,121.4883,319.1,1,1,2000-11-02,0233,Terra,MODIS,58,6.2,298.4,8.6,D,0
-3.5228,126.2545,313.7,1.6,1.2,2000-11-02,0234,Terra,MODIS,59,6.2,289.7,16,D,0
-2.9902,122.2546,328,1,1,2000-11-02,0234,Terra,MODIS,79,6.2,294.7,20.7,D,0
-4.1853,121.6142,319.9,1,1,2000-11-02,0234,Terra,MODIS,65,6.2,298.1,8.4,D,0
-5.0717,122.5105,315.5,1,1,2000-11-02,0234,Terra,MODIS,38,6.2,296.1,9.5,D,0
-8.2874,120.3922,316.9,1,1,2000-11-02,0235,Terra,MODIS,0,6.2,294.6,7.4,D,0
-8.3442,120.7152,318.8,1,1,2000-11-02,0235,Terra,MODIS,39,6.2,299.1,7.6,D,0
