latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
32.3529,47.7131,323.5,1.7,1.3,2000-11-01,0816,Terra,MODIS,75,6.2,305.2,25.8,D,2
31.3158,49.2857,330.1,2.3,1.5,2000-11-01,0816,Terra,MODIS,82,6.2,305.2,57.1,D,2
31.4066,48.6525,324,2.1,1.4,2000-11-01,0816,Terra,MODIS,75,6.2,305.2,28.3,D,2
31.2482,49.162,323.1,2.3,1.5,2000-11-01,0816,Terra,MODIS,74,6.2,305.8,28.6,D,0
31.2099,48.9591,324.9,2.2,1.4,2000-11-01,0816,Terra,MODIS,76,6.2,306.5,30.9,D,2
31.2112,48.954,323.1,2.2,1.4,2000-11-01,0816,Terra,MODIS,74,6.2,306.3,26.6,D,2
30.925,48.8551,323,2.2,1.4,2000-11-01,0816,Terra,MODIS,71,6.2,305.8,28.2,D,2
30.4687,50.4926,320.9,2.9,1.6,2000-11-01,0816,Terra,MODIS,67,6.2,305.6,36.5,D,2
30.3788,50.6149,318.2,3,1.6,2000-11-01,0817,Terra,MODIS,56,6.2,305.3,24.1,D,0
32.4322,51.6266,309.6,1.3,1.1,2000-11-02,0721,Terra,MODIS,35,6.2,297.5,6.3,D,0
32.4251,51.319,312.6,1.4,1.2,2000-11-02,0721,Terra,MODIS,52,6.2,300.5,6.3,D,2
32.241,51.4266,315.4,1.4,1.2,2000-11-02,0721,Terra,MODIS,64,6.2,301.2,9.7,D,2
32.3471,47.7146,313.8,2.4,1.5,2000-11-02,0721,Terra,MODIS,62,6.2,302.9,15.4,D,2
31.3155,49.2842,323.3,1.8,1.3,2000-11-02,0721,Terra,MODIS,76,6.2,303.8,27.5,D,2
31.3208,49.2788,320.8,1.8,1.3,2000-11-02,0721,Terra,MODIS,73,6.2,304.1,22.8,D,2
31.2472,49.1729,318.5,1.8,1.3,2000-11-02,0721,Terra,MODIS,70,6.2,303.8,17.8,D,0
31.2415,49.1651,316.2,1.8,1.3,2000-11-02,0721,Terra,MODIS,56,6.2,303.9,13,D,0
30.9209,48.8633,317.1,1.9,1.3,2000-11-02,0721,Terra,MODIS,63,6.2,305.1,15.2,D,2
30.3944,50.6129,314.7,1.4,1.2,2000-11-02,0721,Terra,MODIS,55,6.2,301.9,7.7,D,2
30.153,50.4198,319.9,1.5,1.2,2000-11-02,0722,Terra,MODIS,67,6.2,305.3,13.7,D,2
25.8979,54.5271,319.5,1,1,2000-11-02,0723,Terra,MODIS,71,6.2,305.1,12,D,3
25.8964,54.5371,325.9,1,1,2000-11-02,0723,Terra,MODIS,79,6.2,306.4,19.2,D,3
30.3962,50.6031,302.5,3.3,1.7,2000-11-02,1821,Terra,MODIS,50,6.2,286,40.1,N,2
31.3204,49.2669,301.1,3.8,1.8,2000-11-02,1822,Terra,MODIS,37,6.2,284.7,47.5,N,2
34.4572,46.6411,310.2,1,1,2000-11-03,0803,Terra,MODIS,55,6.2,299.5,4.2,D,0
33.5436,47.6401,337.8,1.1,1.1,2000-11-03,0804,Terra,MODIS,90,6.2,299.8,40.8,D,0
33.5393,47.6331,326.3,1.1,1.1,2000-11-03,0804,Terra,MODIS,82,6.2,299.3,23.8,D,0
33.5373,47.6449,320.8,1.1,1.1,2000-11-03,0804,Terra,MODIS,78,6.2,297.9,16.9,D,0
