latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.286,8.7056,309.4,1,1,2000-11-02,1037,Terra,MODIS,66,6.2,293.5,6.1,D,0
39.2771,8.7034,309.9,1,1,2000-11-02,1037,Terra,MODIS,66,6.2,292.9,6.9,D,0
42.0586,14.7712,304.3,4,1.9,2000-11-05,1106,Terra,MODIS,42,6.2,275.7,60.3,D,0
45.5083,10.2404,303.9,1,1,2000-11-11,1029,Terra,MODIS,54,6.2,284.2,8,D,0
45.5066,10.2535,310.6,1,1,2000-11-11,1029,Terra,MODIS,66,6.2,284.1,12.6,D,0
41.4386,15.9374,313.9,1.5,1.2,2000-11-11,1030,Terra,MODIS,65,6.2,291.7,20.3,D,0
39.0489,16.7422,302.9,1,1,2000-11-15,1006,Terra,MODIS,53,6.2,292.5,4.2,D,0
38.1884,15.8339,357.9,1,1,2000-11-15,1006,Terra,MODIS,99,6.2,293.3,80.9,D,0
38.1867,15.8451,329,1,1,2000-11-15,1006,Terra,MODIS,82,6.2,290.1,27.8,D,0
39.126,16.4016,320.7,1,1,2000-11-15,2110,Terra,MODIS,100,6.2,284.2,21.7,N,0
39.1349,16.3995,311.7,1,1,2000-11-15,2110,Terra,MODIS,83,6.2,283.7,13.9,N,0
39.3455,16.3249,302.8,1,1,2000-11-15,2110,Terra,MODIS,51,6.2,284.9,7.2,N,0
39.344,16.3282,312.5,3.2,1.7,2000-11-16,2153,Terra,MODIS,79,6.2,286.2,74.6,N,0
39.341,16.3243,321.6,3.2,1.7,2000-11-16,2153,Terra,MODIS,100,6.2,286.9,117.7,N,0
39.3424,16.3192,324.4,1.1,1.1,2000-11-17,0953,Terra,MODIS,70,6.2,283.5,25.9,D,0
39.3407,16.3327,318,1.1,1.1,2000-11-17,0953,Terra,MODIS,65,6.2,282.1,19.9,D,0
45.1476,9.9387,304.6,1,1,2000-11-18,1035,Terra,MODIS,59,6.2,278.4,7.9,D,0
45.1458,9.9513,303.4,1,1,2000-11-18,1035,Terra,MODIS,56,6.2,276.1,7,D,0
40.5132,17.2016,301.8,1.1,1,2000-11-22,1011,Terra,MODIS,23,6.2,289,3.9,D,0
45.1484,9.9384,301.7,1,1,2000-11-27,1029,Terra,MODIS,46,6.2,280.8,7.7,D,0
40.4075,9.0019,315.2,1,1,2000-12-13,1029,Terra,MODIS,75,6.2,283.2,16,D,0
39.0374,16.7568,330.3,1.3,1.1,2000-12-15,1017,Terra,MODIS,83,6.2,291.7,41.6,D,0
39.0348,16.7717,324.9,1.3,1.1,2000-12-15,1017,Terra,MODIS,78,6.2,291,32.4,D,0
45.3783,11.9508,300.8,1.1,1,2000-12-22,2130,Terra,MODIS,34,6.2,269.1,11,N,0
