latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-4.5962,39.2408,333.9,2,1.4,2000-11-01,0826,Terra,MODIS,80,6.2,292,71.7,D,0
-4.5982,39.2338,327,2,1.4,2000-11-01,0826,Terra,MODIS,73,6.2,292.3,44,D,0
2.2024,36.4872,335.5,2.2,1.4,2000-11-06,0843,Terra,MODIS,66,6.2,310.2,47.7,D,0
2.1778,36.4779,336.5,2.2,1.4,2000-11-06,0843,Terra,MODIS,85,6.2,310.5,49.1,D,0
-1.0829,39.6782,328.2,1.4,1.2,2000-11-07,0749,Terra,MODIS,76,6.2,297.3,21.4,D,0
-1.0933,39.6767,325.1,1.4,1.2,2000-11-07,0749,Terra,MODIS,60,6.2,299.1,15.2,D,0
-0.012,35.0707,320,1,1,2000-11-10,0819,Terra,MODIS,54,6.2,303.2,8.1,D,0
-0.3646,35.7762,309.8,1,1,2000-11-10,0819,Terra,MODIS,15,6.2,286.9,7.4,D,0
-2.2945,39.2375,338,1.4,1.2,2000-11-10,0820,Terra,MODIS,83,6.2,302.6,44.7,D,0
-2.2883,39.2326,333,1.4,1.2,2000-11-10,0820,Terra,MODIS,68,6.2,304.9,32.1,D,0
-2.2901,39.2454,333.6,1.4,1.2,2000-11-10,0820,Terra,MODIS,75,6.2,304.2,35.3,D,0
-4.3711,39.5432,318.3,1.6,1.3,2000-11-10,0820,Terra,MODIS,24,6.2,298.6,12.3,D,0
2.0896,36.4388,335.3,2.9,1.6,2000-11-13,0849,Terra,MODIS,61,6.2,310,65.8,D,0
-4.1425,39.5721,330.4,1.1,1,2000-11-14,0756,Terra,MODIS,76,6.2,298.5,17.7,D,0
-1.5347,40.1791,306.7,3.8,1.8,2000-11-15,0838,Terra,MODIS,0,6.2,282.6,30,D,0
-4.1435,39.431,333.8,1.7,1.3,2000-11-16,0743,Terra,MODIS,85,6.2,293.6,53.9,D,0
-2.7105,37.6818,314.2,1.5,1.2,2000-11-17,0826,Terra,MODIS,20,6.2,287.3,13,D,0
1.9529,38.4333,332.1,1,1,2000-11-19,0812,Terra,MODIS,67,6.2,306.5,19.9,D,0
1.8862,38.2618,332.1,1,1,2000-11-19,0812,Terra,MODIS,59,6.2,306.3,15.2,D,0
0.8801,39.4545,332.7,1.1,1,2000-11-19,0813,Terra,MODIS,58,6.2,307.4,16.7,D,0
0.9976,39.4031,315,4.7,2,2000-11-27,0723,Terra,MODIS,0,6.2,291.5,63,D,0
1.2524,38.9324,304.6,1.8,1.3,2000-11-27,1945,Terra,MODIS,61,6.2,289.2,12.1,N,0
1.2551,38.9409,331.7,1,1,2000-11-28,0806,Terra,MODIS,61,6.2,308.5,13.2,D,0
1.2461,38.9396,331.2,1,1,2000-11-28,0806,Terra,MODIS,40,6.2,307.5,11.7,D,0
-2.464,40.7051,320.9,1,1,2000-12-07,0800,Terra,MODIS,47,6.2,301.6,8.5,D,0
0.5625,34.6614,319.4,1.7,1.3,2000-12-08,0843,Terra,MODIS,71,6.2,299.1,23.6,D,0
-2.9943,39.1205,319.2,2.4,1.5,2000-12-10,0831,Terra,MODIS,14,6.2,295.8,33.2,D,0
1.8756,35.4002,309.5,4.3,1.9,2000-12-13,0901,Terra,MODIS,0,6.2,287.1,39.9,D,0
-1.271,36.8473,320.3,1.3,1.1,2000-12-14,2027,Terra,MODIS,100,6.2,286.7,28.9,N,0
-2.5339,40.6202,321.2,1,1,2000-12-16,0755,Terra,MODIS,65,6.2,301,9.7,D,0
-2.5352,40.6293,319.2,1,1,2000-12-16,0755,Terra,MODIS,43,6.2,300.1,7.4,D,0
-3.6853,38.2564,308.3,2.9,1.6,2000-12-17,0838,Terra,MODIS,23,6.2,287,23.2,D,0
0.3828,34.4019,325.8,1.1,1,2000-12-26,0831,Terra,MODIS,78,6.2,304.5,17.4,D,0
-0.136,35.1632,316.9,1.2,1.1,2000-12-26,0831,Terra,MODIS,64,6.2,305.5,7.5,D,0
-0.1376,35.1735,328.2,1.2,1.1,2000-12-26,0831,Terra,MODIS,80,6.2,305.6,22.3,D,0
-1.9391,41.2632,316.2,1.2,1.1,2000-12-30,0807,Terra,MODIS,50,6.2,297.8,8.9,D,0
1.1491,34.905,321.3,2.3,1.5,2000-12-31,0849,Terra,MODIS,70,6.2,301.9,32.1,D,0
