latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.672,21.5777,301,1.3,1.1,2000-11-15,1005,Terra,MODIS,43,6.2,282.9,7.5,D,0
42.2519,21.4341,304.8,1.3,1.1,2000-11-15,1005,Terra,MODIS,53,6.2,289,8,D,0
42.0699,20.7298,301.2,1.2,1.1,2000-11-15,1005,Terra,MODIS,45,6.2,281.5,8.2,D,0
43.054,21.0577,300.2,1,1,2000-11-17,0952,Terra,MODIS,31,6.2,276,5,D,0
42.2685,21.5053,312,1,1,2000-11-17,0952,Terra,MODIS,72,6.2,288.5,11.8,D,0
42.2665,21.5176,307.2,1,1,2000-11-17,0952,Terra,MODIS,54,6.2,287.4,7.9,D,0
42.2625,21.4262,319.3,1,1,2000-11-17,0953,Terra,MODIS,72,6.2,291.1,17.1,D,0
42.2516,21.4421,305.2,1,1,2000-11-17,0953,Terra,MODIS,51,6.2,289,6.6,D,0
42.2496,21.4545,300.8,1,1,2000-11-17,0953,Terra,MODIS,19,6.2,287.2,3.9,D,0
42.2504,21.3909,301.7,1,1,2000-11-17,0953,Terra,MODIS,41,6.2,289.9,4.5,D,0
42.3085,20.962,301.7,1,1,2000-11-17,0953,Terra,MODIS,46,6.2,287.2,5.1,D,0
42.3067,20.974,304.6,1,1,2000-11-17,0953,Terra,MODIS,59,6.2,287.9,6.8,D,0
42.0811,20.7544,341,1,1,2000-11-17,0953,Terra,MODIS,92,6.2,284.6,46,D,0
42.0793,20.7662,325.3,1,1,2000-11-17,0953,Terra,MODIS,84,6.2,284.3,23.2,D,0
42.0722,20.7517,343.1,1,1,2000-11-17,0953,Terra,MODIS,93,6.2,284.1,50.1,D,0
42.0704,20.7637,346.1,1,1,2000-11-17,0953,Terra,MODIS,94,6.2,284.1,55.3,D,0
42.0615,20.7611,309.6,1,1,2000-11-17,0953,Terra,MODIS,69,6.2,280.8,9.8,D,0
42.2638,21.5139,306.2,1.1,1.1,2000-11-17,2059,Terra,MODIS,28,6.2,280.1,11.6,N,0
42.2622,21.5005,307.3,1.1,1.1,2000-11-17,2059,Terra,MODIS,36,6.2,280.5,12.4,N,0
42.2828,21.5103,318.8,1.1,1.1,2000-11-17,2059,Terra,MODIS,45,6.2,282.1,21.8,N,0
42.286,21.5033,321.1,1.1,1.1,2000-11-17,2059,Terra,MODIS,100,6.2,282.4,27.5,N,0
42.2662,21.4899,306.2,3.7,1.8,2000-11-18,0857,Terra,MODIS,63,6.2,281.2,57.4,D,0
42.2646,21.5329,306.5,3.7,1.8,2000-11-18,0857,Terra,MODIS,64,6.2,280.4,58.9,D,0
42.2571,21.5257,310.7,3.7,1.8,2000-11-18,0857,Terra,MODIS,65,6.2,279.6,71.7,D,0
