latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.9026,47.7276,318.5,1.9,1.4,2000-11-01,0817,Terra,MODIS,58,6.2,304.6,14.8,D,2
28.8127,47.7098,300.6,1.1,1.1,2000-11-03,1904,Terra,MODIS,30,6.2,286.6,7.6,N,2
28.8108,47.6983,300.9,1.1,1.1,2000-11-03,1904,Terra,MODIS,35,6.2,286.3,7.9,N,2
29.0332,47.5672,311.7,1.1,1.1,2000-11-03,1904,Terra,MODIS,83,6.2,286,16.5,N,2
29.0314,47.5556,305.5,1.1,1.1,2000-11-03,1904,Terra,MODIS,64,6.2,285.6,11.3,N,2
29.9003,47.7266,302,1.1,1,2000-11-03,1904,Terra,MODIS,46,6.2,286,7.7,N,2
29.0337,47.5607,309.7,1.7,1.3,2000-11-05,1852,Terra,MODIS,78,6.2,285.7,26,N,2
29.031,47.5558,300.7,1.7,1.3,2000-11-05,1852,Terra,MODIS,33,6.2,285.6,12.9,N,2
29.0372,47.5583,305.3,1.6,1.2,2000-11-06,1935,Terra,MODIS,64,6.2,285.3,18.8,N,2
29.8741,47.7295,316.1,1.7,1.3,2000-11-06,1935,Terra,MODIS,93,6.2,285.9,36.1,N,2
29.1081,47.9599,313.3,1.1,1,2000-11-07,0740,Terra,MODIS,57,6.2,300.5,5.3,D,0
29.1067,47.9711,312.7,1.1,1,2000-11-07,0740,Terra,MODIS,55,6.2,300.4,4.8,D,0
28.8083,47.7111,310.2,1.7,1.3,2000-11-09,0728,Terra,MODIS,67,6.2,289.9,14,D,2
28.8103,47.7045,311.3,1.7,1.3,2000-11-09,0728,Terra,MODIS,67,6.2,290.2,15,D,2
29.8297,47.8814,313.5,1.6,1.2,2000-11-10,0811,Terra,MODIS,58,6.2,293.8,15.1,D,0
29.8188,47.8787,316.2,1.6,1.2,2000-11-10,0811,Terra,MODIS,66,6.2,293.5,20,D,0
29.03,47.5628,324.3,1.6,1.2,2000-11-10,0811,Terra,MODIS,79,6.2,296.1,32.8,D,2
28.8483,47.7262,308.9,1.6,1.3,2000-11-10,0811,Terra,MODIS,44,6.2,293.6,7.8,D,2
28.8062,47.709,300.7,1,1,2000-11-10,1910,Terra,MODIS,32,6.2,285.4,6.6,N,2
28.8152,47.7072,300.8,1,1,2000-11-10,1910,Terra,MODIS,33,6.2,285.6,6.7,N,2
28.8547,47.7248,300.5,1,1,2000-11-10,1910,Terra,MODIS,29,6.2,284.9,7,N,2
28.8532,47.7145,300.8,1,1,2000-11-10,1910,Terra,MODIS,34,6.2,284.7,7.1,N,2
29.0331,47.5605,316.6,1,1,2000-11-10,1910,Terra,MODIS,93,6.2,286.5,18.3,N,2
29.8265,47.8746,343.2,1,1,2000-11-10,1910,Terra,MODIS,100,6.2,284.9,52.5,N,0
29.825,47.8644,313.3,1,1,2000-11-10,1910,Terra,MODIS,87,6.2,283.3,15.1,N,0
29.0283,47.56,300.5,3.3,1.7,2000-11-11,1953,Terra,MODIS,29,6.2,283.6,38.7,N,2
29.0395,47.5535,301.3,3.3,1.7,2000-11-11,1953,Terra,MODIS,40,6.2,283.1,43.8,N,0
29.085,47.978,303.7,3.6,1.8,2000-11-11,1953,Terra,MODIS,57,6.2,283.7,53.7,N,0
29.8764,47.7434,303.9,3.5,1.8,2000-11-11,1953,Terra,MODIS,58,6.2,283,54.2,N,2
29.874,47.7074,305.4,3.5,1.8,2000-11-11,1953,Terra,MODIS,64,6.2,283.3,59,N,2
29.886,47.7373,305.8,3.5,1.8,2000-11-11,1953,Terra,MODIS,63,6.2,283.1,56,N,2
29.8791,47.7203,321.5,1.1,1,2000-11-12,0759,Terra,MODIS,72,6.2,301.1,14.6,D,2
29.8773,47.7314,343.8,1.1,1,2000-11-12,0759,Terra,MODIS,92,6.2,300.6,49.6,D,2
29.033,47.5669,331.1,1.1,1,2000-11-12,0759,Terra,MODIS,83,6.2,302,26.1,D,2
28.9269,47.9757,314.2,1.1,1.1,2000-11-12,0759,Terra,MODIS,58,6.2,301.9,6,D,0
28.8135,47.6972,304.1,1.4,1.2,2000-11-12,1858,Terra,MODIS,59,6.2,284.2,14,N,0
28.8488,47.7172,302.1,1.3,1.1,2000-11-12,1858,Terra,MODIS,47,6.2,284.3,12,N,2
29.0289,47.5647,300.5,1.4,1.2,2000-11-12,1858,Terra,MODIS,30,6.2,285.5,10.3,N,2
29.0391,47.5623,302.2,1.4,1.2,2000-11-12,1858,Terra,MODIS,48,6.2,284.6,11.8,N,2
29.8809,47.7319,315.6,1.3,1.1,2000-11-12,1858,Terra,MODIS,92,6.2,284.7,24.4,N,2
29.8786,47.7188,309,1.3,1.1,2000-11-12,1858,Terra,MODIS,76,6.2,284.3,17.1,N,2
29.8853,47.7312,311.4,4.5,2,2000-11-13,0703,Terra,MODIS,63,6.2,295.4,58,D,2
