latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.8931,21.2865,302.8,1.5,1.2,2000-11-14,2028,Terra,MODIS,52,6.2,279.3,14.8,N,0
40.8903,21.2718,315.7,1.5,1.2,2000-11-14,2028,Terra,MODIS,92,6.2,281.2,31,N,0
41.5035,22.8645,304.2,1.2,1.1,2000-11-14,2028,Terra,MODIS,59,6.2,273,13,N,0
41.615,22.7976,305.2,1.6,1.2,2000-11-15,1005,Terra,MODIS,61,6.2,290.9,10.8,D,0
41.6152,22.7914,301.6,1.6,1.2,2000-11-15,1005,Terra,MODIS,48,6.2,290.5,7.7,D,0
41.5162,22.9343,308,1.6,1.3,2000-11-15,1005,Terra,MODIS,66,6.2,290.2,14.8,D,0
41.506,22.8703,311.8,1.6,1.3,2000-11-15,1005,Terra,MODIS,56,6.2,289.6,18.3,D,0
41.5064,22.8656,308.7,1.6,1.3,2000-11-15,1005,Terra,MODIS,67,6.2,289.7,15.7,D,0
41.5029,22.8832,304.9,1.6,1.3,2000-11-15,1005,Terra,MODIS,55,6.2,289.8,11,D,0
41.4953,22.8627,305.5,1.6,1.3,2000-11-15,1005,Terra,MODIS,35,6.2,291.1,10.9,D,0
41.7031,21.4663,305.5,1.4,1.2,2000-11-15,1005,Terra,MODIS,25,6.2,290.8,9.5,D,0
41.697,21.4577,309.1,1.4,1.2,2000-11-15,1005,Terra,MODIS,59,6.2,292.2,13.2,D,0
41.0957,21.8667,303.4,1.5,1.2,2000-11-15,1005,Terra,MODIS,46,6.2,289.3,9.3,D,0
40.8804,21.2644,321.4,1.4,1.2,2000-11-15,1005,Terra,MODIS,78,6.2,290,28.9,D,0
41.4977,22.8537,318.8,1.9,1.3,2000-11-15,2111,Terra,MODIS,97,6.2,282,48.3,N,0
41.5111,22.87,308.1,1.9,1.3,2000-11-15,2111,Terra,MODIS,73,6.2,281.6,28.6,N,0
41.6902,22.7464,301.2,2,1.4,2000-11-16,0910,Terra,MODIS,43,6.2,289.9,9.9,D,0
41.6226,22.811,301.1,2,1.4,2000-11-16,0910,Terra,MODIS,41,6.2,291.1,8.8,D,0
41.6969,21.4459,301.9,2.4,1.5,2000-11-16,0910,Terra,MODIS,49,6.2,287.4,20,D,0
41.5476,22.9366,301.3,1.9,1.4,2000-11-16,0910,Terra,MODIS,44,6.2,288.9,10.8,D,0
41.5163,22.8612,302.7,2,1.4,2000-11-16,0910,Terra,MODIS,26,6.2,291.4,9.9,D,0
41.5107,22.933,305.8,1.9,1.4,2000-11-16,0910,Terra,MODIS,62,6.2,289.2,15.6,D,0
41.2074,22.3219,303.2,2.1,1.4,2000-11-16,0910,Terra,MODIS,52,6.2,291.8,13.2,D,0
40.8731,21.2476,305.8,2.4,1.5,2000-11-16,0910,Terra,MODIS,43,6.2,288.5,21.4,D,0
40.8715,21.2714,316.9,2.4,1.5,2000-11-16,0910,Terra,MODIS,77,6.2,288.7,51.5,D,0
40.8715,21.2667,303.3,2.2,1.4,2000-11-16,2016,Terra,MODIS,54,6.2,279.9,28.4,N,0
41.5568,22.9372,302,1.7,1.3,2000-11-16,2016,Terra,MODIS,46,6.2,279.6,18.2,N,0
42.0597,20.773,304.4,1,1,2000-11-17,0953,Terra,MODIS,52,6.2,289.4,6.2,D,0
41.7072,22.6344,301.8,1.1,1.1,2000-11-17,0953,Terra,MODIS,42,6.2,290.4,4.9,D,0
41.6864,22.7539,321.3,1.1,1.1,2000-11-17,0953,Terra,MODIS,81,6.2,290.1,22.2,D,0
41.6955,22.6454,301.9,1.1,1.1,2000-11-17,0953,Terra,MODIS,46,6.2,290,4.8,D,0
41.6668,22.7271,312.2,1.1,1.1,2000-11-17,0953,Terra,MODIS,72,6.2,289.1,14.1,D,0
41.6271,22.786,320,1.1,1.1,2000-11-17,0953,Terra,MODIS,72,6.2,289,19.7,D,0
41.5612,22.936,306.4,1.2,1.1,2000-11-17,0953,Terra,MODIS,63,6.2,289.3,8.7,D,0
41.5187,22.8725,303.8,1.2,1.1,2000-11-17,0953,Terra,MODIS,36,6.2,289.6,5.7,D,0
