latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
2.4013,111.2203,319.3,1.1,1.1,2000-11-01,0328,Terra,MODIS,56,6.2,294.9,13.5,D,0
6.0493,117.352,305.7,1.6,1.2,2000-11-06,1432,Terra,MODIS,65,6.2,289.6,12.3,N,0
5.1422,116.27,312.1,1.1,1,2000-11-09,1502,Terra,MODIS,84,6.2,285.3,13.3,N,0
5.1515,116.2687,301,1.1,1,2000-11-09,1502,Terra,MODIS,14,6.2,284.3,6.2,N,0
5.3121,116.5551,307.5,1.9,1.3,2000-11-10,0321,Terra,MODIS,57,6.2,289.7,10.9,D,0
2.3441,102.7703,302,1,1,2000-11-10,1545,Terra,MODIS,46,6.2,286.4,4.3,N,0
3.6118,102.6246,303.2,1,1,2000-11-10,1545,Terra,MODIS,54,6.2,281.7,5.6,N,0
5.8206,100.8758,312.3,1,1,2000-11-11,0404,Terra,MODIS,54,6.2,299,5.6,D,0
5.4072,100.5563,319,1,1,2000-11-11,0404,Terra,MODIS,40,6.2,301.1,7.3,D,0
5.0328,102.2603,310.3,1.1,1.1,2000-11-11,0404,Terra,MODIS,60,6.2,294.6,5.8,D,0
5.2047,101.0534,316.3,1,1,2000-11-11,0404,Terra,MODIS,70,6.2,297.3,8.9,D,0
4.9907,101.9284,323.9,1.1,1,2000-11-11,0404,Terra,MODIS,79,6.2,298,17.8,D,0
4.7,101.1011,315,1,1,2000-11-11,0405,Terra,MODIS,60,6.2,298.2,5.7,D,0
3.8371,102.4408,316.4,1.2,1.1,2000-11-11,0405,Terra,MODIS,70,6.2,293.5,11.5,D,0
3.6092,102.5997,319,1.2,1.1,2000-11-11,0405,Terra,MODIS,68,6.2,294.8,13.3,D,0
3.492,102.4837,322.8,1.2,1.1,2000-11-11,0405,Terra,MODIS,78,6.2,295.3,18.8,D,0
3.2942,102.1147,312.8,1.1,1.1,2000-11-11,0405,Terra,MODIS,57,6.2,291.9,6.9,D,0
3.087,102.5303,316.8,1.2,1.1,2000-11-11,0405,Terra,MODIS,64,6.2,291.6,11.7,D,0
3.1747,101.3214,314.6,1.1,1,2000-11-11,0405,Terra,MODIS,58,6.2,293.9,9,D,0
2.9989,102.3704,310.3,1.2,1.1,2000-11-11,0405,Terra,MODIS,48,6.2,286,9.2,D,0
2.3366,102.2038,319.7,1.2,1.1,2000-11-11,0405,Terra,MODIS,72,6.2,296.8,13.2,D,0
2.3351,102.2143,316.6,1.2,1.1,2000-11-11,0405,Terra,MODIS,66,6.2,296.5,9.6,D,0
4.3799,117.5094,304.3,1,1,2000-11-11,1450,Terra,MODIS,59,6.2,286.4,5.2,N,0
4.984,116.455,300.3,1,1,2000-11-11,1450,Terra,MODIS,24,6.2,269.4,5.9,N,0
5.2813,117.0315,311.1,1.2,1.1,2000-11-12,0309,Terra,MODIS,46,6.2,291.1,6.8,D,0
5.1475,116.3495,313.9,1.1,1.1,2000-11-12,0309,Terra,MODIS,52,6.2,295.1,6.7,D,0
5.146,116.3596,314.4,1.1,1.1,2000-11-12,0309,Terra,MODIS,64,6.2,294.5,7.5,D,0
4.2091,117.6952,306.8,1.4,1.2,2000-11-12,0309,Terra,MODIS,49,6.2,283.8,8.3,D,0
2.5279,111.8675,323.3,1.1,1,2000-11-12,0310,Terra,MODIS,20,6.2,297.8,15,D,0
3.2587,102.4004,304.7,1.6,1.2,2000-11-12,1533,Terra,MODIS,55,6.2,281.7,12.6,N,0
3.2699,102.3988,307.1,1.6,1.2,2000-11-12,1533,Terra,MODIS,70,6.2,279.7,15.9,N,0
5.1464,102.969,314.9,1,1,2000-11-13,0352,Terra,MODIS,64,6.2,293.8,7.6,D,0
5.1451,102.978,310.4,1,1,2000-11-13,0352,Terra,MODIS,38,6.2,292.5,4.2,D,0
4.291,101.8299,313.5,1.1,1,2000-11-13,0352,Terra,MODIS,65,6.2,296.8,6.8,D,0
