latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.3978,-7.3294,329.5,1.5,1.2,2000-11-01,1138,Terra,MODIS,73,6.2,311.2,21.3,D,0
16.3871,-7.3313,328.4,1.5,1.2,2000-11-01,1138,Terra,MODIS,59,6.2,312.5,18,D,0
15.4394,-9.9675,313.2,4.6,2,2000-11-01,2231,Terra,MODIS,25,6.2,289.5,101.6,N,0
15.4394,-9.9741,309.7,4.6,2,2000-11-01,2231,Terra,MODIS,46,6.2,288,86.1,N,0
15.4033,-10.0122,310,1,1,2000-11-02,2313,Terra,MODIS,79,6.2,295.1,9.1,N,0
14.9885,-12.4399,303.4,1.7,1.3,2000-11-05,2344,Terra,MODIS,32,6.2,286.8,12,N,0
15.0043,-12.4346,341.4,1.5,1.2,2000-11-06,1157,Terra,MODIS,87,6.2,308.3,52.1,D,0
15.0022,-12.4212,333.7,1.5,1.2,2000-11-06,1157,Terra,MODIS,75,6.2,311.2,30.8,D,0
14.9937,-12.4364,334.9,1.5,1.2,2000-11-06,1157,Terra,MODIS,67,6.2,311.6,33.9,D,0
14.9916,-12.4231,334.1,1.5,1.2,2000-11-06,1157,Terra,MODIS,72,6.2,313.1,31.9,D,0
15.7606,-9.3127,308.7,1.8,1.3,2000-11-06,2249,Terra,MODIS,71,6.2,292.5,18.7,N,0
15.7578,-9.3292,306.2,1.8,1.3,2000-11-06,2249,Terra,MODIS,47,6.2,292.8,14.4,N,0
15.7557,-9.3173,307.9,1.8,1.3,2000-11-06,2249,Terra,MODIS,73,6.2,293.2,18.7,N,0
15.7706,-9.3713,315.2,1.8,1.3,2000-11-06,2249,Terra,MODIS,91,6.2,294,30.6,N,0
15.5669,-7.4067,333.7,1.6,1.3,2000-11-07,1102,Terra,MODIS,31,6.2,314.6,31.8,D,0
15.5575,-7.4234,337.5,1.6,1.3,2000-11-07,1102,Terra,MODIS,18,6.2,316.9,40.2,D,0
15.557,-7.4147,337.9,1.6,1.3,2000-11-07,1102,Terra,MODIS,19,6.2,317.3,38.9,D,0
