latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
17.6009,-93.2951,309,1.8,1.3,2000-11-01,0423,Terra,MODIS,76,6.2,290.6,20.3,N,0
17.841,-93.1126,330.4,1.8,1.3,2000-11-01,0423,Terra,MODIS,100,6.2,292.5,64.6,N,2
17.8382,-93.129,328.5,1.8,1.3,2000-11-01,0423,Terra,MODIS,100,6.2,292.5,59.5,N,2
17.8863,-93.1778,317.1,1.8,1.3,2000-11-01,0423,Terra,MODIS,94,6.2,292.6,31.2,N,2
17.8979,-93.1801,390,1.8,1.3,2000-11-01,0423,Terra,MODIS,100,6.2,295.3,459.1,N,2
17.8951,-93.1965,364.8,1.8,1.3,2000-11-01,0423,Terra,MODIS,100,6.2,294.1,230.2,N,2
17.8933,-93.1781,330.8,2.7,1.6,2000-11-01,1635,Terra,MODIS,85,6.2,296.3,96.8,D,2
17.8411,-93.1171,314.6,1.8,1.3,2000-11-02,0506,Terra,MODIS,89,6.2,294,27.5,N,2
17.8391,-93.1338,307,1.8,1.3,2000-11-02,0506,Terra,MODIS,70,6.2,293.8,14.6,N,2
17.8482,-93.1236,315.7,1.8,1.3,2000-11-02,0506,Terra,MODIS,92,6.2,294.1,28.7,N,2
26.8788,-101.4194,303,1,1,2000-11-02,0509,Terra,MODIS,15,6.2,289.2,6.2,N,2
26.8832,-101.4513,302.4,1,1,2000-11-02,0509,Terra,MODIS,27,6.2,288.6,5.6,N,2
26.8922,-101.453,301.5,1,1,2000-11-02,0509,Terra,MODIS,41,6.2,288.3,5,N,2
26.8907,-101.463,305.6,1,1,2000-11-02,0509,Terra,MODIS,65,6.2,288.7,7.7,N,0
20.3037,-102.7727,315.1,2.3,1.5,2000-11-02,1718,Terra,MODIS,50,6.2,296.2,26.2,D,0
19.02,-98.6202,331.3,1.2,1.1,2000-11-02,1718,Terra,MODIS,0,6.2,305.9,28.2,D,1
18.3548,-96.0895,314.7,1,1,2000-11-02,1718,Terra,MODIS,66,6.2,295.5,7.4,D,0
17.8383,-93.127,310.9,1.2,1.1,2000-11-02,1718,Terra,MODIS,23,6.2,294.8,4.9,D,2
18.1695,-95.6461,312.1,1,1,2000-11-02,1718,Terra,MODIS,59,6.2,297.1,5.7,D,0
17.6586,-93.3536,323.6,1.2,1.1,2000-11-02,1718,Terra,MODIS,78,6.2,298.4,20.9,D,2
16.8168,-95.0543,311.3,1.1,1,2000-11-02,1718,Terra,MODIS,57,6.2,297.9,5.3,D,0
30.8568,-116.0201,315,1.1,1,2000-11-02,1853,Terra,MODIS,48,6.2,301.3,5.7,D,0
17.8459,-93.1098,318.4,3,1.6,2000-11-03,0411,Terra,MODIS,97,6.2,292.5,75.3,N,2
17.8408,-93.1375,316.8,3,1.7,2000-11-03,0411,Terra,MODIS,94,6.2,292.8,69.1,N,2
17.8462,-93.1163,323.6,3,1.6,2000-11-03,0411,Terra,MODIS,100,6.2,292.6,102.4,N,2
17.841,-93.144,306.9,3,1.7,2000-11-03,0411,Terra,MODIS,70,6.2,292.6,33.7,N,0
19.5067,-96.3537,309.2,4,1.9,2000-11-03,1800,Terra,MODIS,0,6.2,291.7,47.4,D,0
20.2866,-100.8618,320.5,1.8,1.3,2000-11-03,1800,Terra,MODIS,58,6.2,293.9,24.9,D,0
19.0203,-98.6144,306.9,2.8,1.6,2000-11-03,1801,Terra,MODIS,0,6.2,289,25.7,D,1
17.932,-102.2069,323.5,1.6,1.2,2000-11-03,1801,Terra,MODIS,0,6.2,304.2,27.1,D,2
16.0079,-93.6283,302.9,1.1,1,2000-11-04,0454,Terra,MODIS,52,6.2,283.7,6.1,N,0
17.8398,-93.1209,334.1,1.1,1.1,2000-11-04,0454,Terra,MODIS,100,6.2,293.7,41.2,N,2
19.0255,-98.6239,307.1,1.2,1.1,2000-11-04,0455,Terra,MODIS,70,6.2,270.2,17,N,1
18.1083,-94.3942,317.1,1,1,2000-11-04,1706,Terra,MODIS,65,6.2,299.8,9,D,0
30.9161,-116.1809,315.4,1,1,2000-11-04,1841,Terra,MODIS,64,6.2,300.2,5.9,D,0
24.0556,-98.0072,313.6,1.5,1.2,2000-11-05,1747,Terra,MODIS,62,6.2,294.1,11.6,D,0
24.053,-97.9929,320.2,1.5,1.2,2000-11-05,1747,Terra,MODIS,74,6.2,296.4,22.4,D,0
24.0502,-98,323.3,1.5,1.2,2000-11-05,1747,Terra,MODIS,78,6.2,295.1,26.6,D,0
20.5791,-101.1689,318.6,1.1,1.1,2000-11-05,1748,Terra,MODIS,46,6.2,301,7.5,D,2
20.4128,-101.1288,327.5,1.1,1.1,2000-11-05,1748,Terra,MODIS,80,6.2,302.1,18.6,D,0
20.4085,-101.1355,326.9,1.1,1.1,2000-11-05,1748,Terra,MODIS,70,6.2,301.6,19.7,D,0
19.5144,-96.3547,316.2,2.4,1.5,2000-11-05,1748,Terra,MODIS,0,6.2,298.9,32,D,0
20.3126,-101.5963,322.4,1.1,1,2000-11-05,1748,Terra,MODIS,74,6.2,299,15,D,0
