latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.8568,99.3681,310.2,1.3,1.1,2000-11-02,0406,Terra,MODIS,69,6.2,294,11.4,D,0
22.9057,98.1248,305.7,2,1.4,2000-11-03,0449,Terra,MODIS,61,6.2,293.4,13.4,D,0
22.9023,98.1179,310.6,2,1.4,2000-11-03,0449,Terra,MODIS,70,6.2,293.8,23.1,D,0
17.2516,96.309,304.4,1.1,1,2000-11-08,1601,Terra,MODIS,60,6.2,293,6.1,N,0
10.4034,98.5949,320.2,1.2,1.1,2000-11-11,0403,Terra,MODIS,72,6.2,302.3,15,D,0
22.8368,94.7373,316.5,1,1,2000-11-12,0443,Terra,MODIS,0,6.2,304.3,10.7,D,0
19.1302,96.3522,313.9,1.4,1.2,2000-11-12,0444,Terra,MODIS,69,6.2,300.8,9.8,D,0
22.9369,98.189,315.6,1.1,1,2000-11-14,0430,Terra,MODIS,75,6.2,296,12.6,D,0
26.5627,96.2797,300.9,1.3,1.1,2000-11-19,0448,Terra,MODIS,18,6.2,286,4.8,D,0
20.2107,94.741,314.6,1.3,1.1,2000-11-19,0449,Terra,MODIS,34,6.2,300.1,9.6,D,0
19.9106,96.2484,309.2,1.4,1.2,2000-11-25,0413,Terra,MODIS,60,6.2,291.8,7.2,D,0
11.7789,99.5563,312.6,1,1,2000-11-25,0415,Terra,MODIS,55,6.2,290.2,7.9,D,0
20.7606,98.6891,301.8,1.8,1.3,2000-11-28,0443,Terra,MODIS,20,6.2,285.5,5.6,D,0
17.0125,96.5406,315.5,1,1,2000-11-30,0431,Terra,MODIS,55,6.2,298.7,5.1,D,0
17.011,96.5503,325.9,1,1,2000-11-30,0431,Terra,MODIS,79,6.2,298.6,16.2,D,0
20.1572,99.3855,309.5,1,1,2000-12-02,0418,Terra,MODIS,54,6.2,296.9,4.7,D,0
14.2552,98.3908,312,1,1,2000-12-02,0420,Terra,MODIS,56,6.2,299.3,6.5,D,0
22.0956,95.8903,315.8,1.4,1.2,2000-12-05,0448,Terra,MODIS,65,6.2,301.9,11.9,D,0
19.8627,98.5308,307.3,2.4,1.5,2000-12-05,0449,Terra,MODIS,50,6.2,293,15.5,D,0
19.7678,96.8292,305.7,1.2,1.1,2000-12-07,0436,Terra,MODIS,49,6.2,295.2,5.8,D,0
18.3113,95.1746,310.1,1,1,2000-12-07,0437,Terra,MODIS,59,6.2,299.1,4.6,D,0
10.4106,98.5901,315.6,2.2,1.4,2000-12-07,0439,Terra,MODIS,64,6.2,295.2,29.6,D,0
10.4109,98.5836,311.3,2.2,1.4,2000-12-07,0439,Terra,MODIS,48,6.2,295.3,19.3,D,0
10.4078,98.6029,311.4,2.2,1.4,2000-12-07,0439,Terra,MODIS,48,6.2,294.8,19.9,D,0
26.7144,98.6437,301.3,1,1,2000-12-09,0422,Terra,MODIS,46,6.2,282.5,6.4,D,0
20.5622,99.6507,303.2,1.1,1,2000-12-09,0424,Terra,MODIS,52,6.2,291.1,4.5,D,0
19.7474,96.1566,315.5,1,1,2000-12-09,0424,Terra,MODIS,65,6.2,302.8,6.3,D,0
19.4296,97.1558,319.8,1,1,2000-12-09,0424,Terra,MODIS,77,6.2,302.1,11.8,D,0
18.7392,95.2677,314.8,1.1,1,2000-12-09,0425,Terra,MODIS,69,6.2,298.9,10.1,D,0
18.1301,95.5677,308.1,3.5,1.8,2000-12-10,0508,Terra,MODIS,36,6.2,295,22.3,D,0
