latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.5921,87.5385,306.2,1.1,1.1,2000-11-01,0500,Terra,MODIS,55,6.2,292.1,6.2,D,0
29.1006,81.917,330.6,1.3,1.1,2000-11-06,0518,Terra,MODIS,87,6.2,293.7,43,D,0
30.0881,81.3358,308.7,1.8,1.3,2000-11-07,0601,Terra,MODIS,58,6.2,291.2,21.1,D,0
30.0841,81.357,306,1.9,1.3,2000-11-07,0601,Terra,MODIS,37,6.2,287.4,17.1,D,0
30.106,81.9647,315,2.1,1.4,2000-11-08,0506,Terra,MODIS,64,6.2,282.6,41.6,D,0
29.1132,81.9312,306.7,1.3,1.1,2000-11-09,0549,Terra,MODIS,24,6.2,293.4,11.7,D,0
28.6074,83.585,309.1,2.6,1.5,2000-11-10,0454,Terra,MODIS,63,6.2,289.1,28,D,0
29.9348,82.0353,307.7,1,1,2000-11-11,0536,Terra,MODIS,38,6.2,293.6,9.6,D,0
28.529,83.8918,307,1.2,1.1,2000-11-11,0537,Terra,MODIS,27,6.2,284.1,11.6,D,0
27.7634,87.2004,302,2.3,1.5,2000-11-12,0442,Terra,MODIS,0,6.2,284.5,15,D,0
28.6639,83.6813,301,1,1,2000-11-13,0524,Terra,MODIS,14,6.2,287,5.1,D,0
29.6362,82.2096,320.7,1.7,1.3,2000-11-16,0555,Terra,MODIS,80,6.2,288.6,39.6,D,0
29.6388,82.2025,306.4,1.7,1.3,2000-11-16,0555,Terra,MODIS,51,6.2,288.8,15.7,D,0
29.6355,82.2201,304.5,1.7,1.3,2000-11-16,0555,Terra,MODIS,35,6.2,287.2,12.1,D,0
29.4444,82.2381,300.8,1.7,1.3,2000-11-16,0555,Terra,MODIS,17,6.2,285.3,11.4,D,0
29.4473,82.2323,304.5,1.7,1.3,2000-11-16,0555,Terra,MODIS,47,6.2,286.8,15.7,D,0
28.9551,82.0746,321.2,2.6,1.5,2000-11-17,0500,Terra,MODIS,43,6.2,294.8,63.7,D,0
28.9626,82.0718,316.7,2.6,1.5,2000-11-17,0500,Terra,MODIS,72,6.2,294,53.7,D,0
28.961,82.0898,316.2,2.6,1.5,2000-11-17,0500,Terra,MODIS,71,6.2,292.7,50.7,D,0
27.7429,86.4509,310.8,1.1,1,2000-11-24,0506,Terra,MODIS,70,6.2,289.1,11.8,D,0
29.8082,81.4843,304.3,1.2,1.1,2000-11-25,0548,Terra,MODIS,46,6.2,280.4,12.9,D,0
29.0256,82.8477,314.2,1.5,1.2,2000-11-25,0549,Terra,MODIS,48,6.2,293.6,21.4,D,0
29.0341,82.8427,310.7,1.5,1.2,2000-11-25,0549,Terra,MODIS,34,6.2,289.3,16.8,D,0
29.0142,82.8912,314.4,1.5,1.2,2000-11-25,0549,Terra,MODIS,63,6.2,296.8,21.5,D,0
