latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.544,165.948,318.6,1,1,2000-11-01,2321,Terra,MODIS,72,6.2,297.4,11.2,D,0
-22.0375,166.2015,323.9,1.4,1.2,2000-11-03,2309,Terra,MODIS,77,6.2,299.2,21.1,D,0
-22.0398,166.2146,326.2,1.4,1.2,2000-11-03,2309,Terra,MODIS,79,6.2,300.1,25.2,D,0
-21.3117,165.3191,311.9,1.9,1.3,2000-11-04,2352,Terra,MODIS,51,6.2,298.7,13.5,D,0
-22.0463,166.2073,316.3,2.2,1.4,2000-11-04,2352,Terra,MODIS,66,6.2,297.9,24,D,0
-22.0437,166.2019,314.2,2.2,1.4,2000-11-04,2352,Terra,MODIS,61,6.2,298.5,19.1,D,0
-20.4251,164.5596,312.4,1,1,2000-11-08,2327,Terra,MODIS,34,6.2,298.9,8.1,D,0
-20.2939,164.1746,305.5,1.3,1.1,2000-11-16,1144,Terra,MODIS,32,6.2,280.1,11.3,N,0
-20.3162,164.4727,312.4,1,1,2000-12-01,2333,Terra,MODIS,54,6.2,300.8,4.4,D,0
-20.7733,165.091,324.7,1,1,2000-12-01,2333,Terra,MODIS,76,6.2,300.5,17,D,0
-20.73,165.0361,320.1,1.4,1.2,2000-12-12,2314,Terra,MODIS,55,6.2,298.7,18,D,0
-21.4935,165.954,315.7,1.6,1.3,2000-12-15,2345,Terra,MODIS,34,6.2,291,17.3,D,0
-20.7667,165.079,316.1,1,1,2000-12-17,2333,Terra,MODIS,61,6.2,300.1,7.9,D,0
-20.7757,165.0776,317.9,1,1,2000-12-17,2333,Terra,MODIS,69,6.2,298.3,9.9,D,0
-22.0338,166.2428,310.5,1.6,1.2,2000-12-20,1130,Terra,MODIS,71,6.2,290.3,21.2,N,0
-21.7141,166.1194,318,1,1,2000-12-26,2327,Terra,MODIS,52,6.2,299.7,8,D,0
-21.926,165.99,315.6,2.8,1.6,2000-12-29,2357,Terra,MODIS,0,6.2,296.7,37.5,D,0
