latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-46.0241,170.1129,306.5,1.6,1.3,2000-11-03,2316,Terra,MODIS,48,6.2,290.3,13.8,D,0
-46.0206,170.1073,303.2,1.6,1.3,2000-11-03,2316,Terra,MODIS,39,6.2,290.6,11,D,0
-43.6231,172.1448,308.3,1,1,2000-11-09,2238,Terra,MODIS,64,6.2,296.3,5.4,D,0
-43.2457,170.2248,307,1.2,1.1,2000-11-19,1208,Terra,MODIS,70,6.2,278.1,15.7,N,0
-43.2484,170.2099,306.1,1.2,1.1,2000-11-19,1208,Terra,MODIS,67,6.2,277.8,14.8,N,0
-43.2468,170.2188,315.8,1.2,1.1,2000-11-19,1208,Terra,MODIS,78,6.2,278.2,22.8,N,0
-36.3836,174.1198,312.2,1,1,2000-11-23,2248,Terra,MODIS,0,6.2,302,10,D,0
-39.8275,174.679,311.8,1,1,2000-11-25,2237,Terra,MODIS,61,6.2,299.8,6.6,D,0
-36.7514,174.7058,313.7,1,1,2000-12-02,2242,Terra,MODIS,43,6.2,296.9,6.7,D,0
-38.8013,176.1859,302.2,1,1,2000-12-04,2230,Terra,MODIS,14,6.2,287.1,3.4,D,0
-41.4305,173.7899,307.6,2.3,1.5,2000-12-05,2313,Terra,MODIS,59,6.2,295.2,20.2,D,0
-41.4407,173.809,306.4,2.3,1.5,2000-12-05,2313,Terra,MODIS,49,6.2,293.8,16.4,D,0
-46.2673,169.8659,316.6,1.1,1,2000-12-11,2238,Terra,MODIS,56,6.2,296.8,12.4,D,0
-38.6342,176.3948,308.7,1.2,1.1,2000-12-22,2218,Terra,MODIS,55,6.2,295,9.3,D,0
-41.7879,174.0786,322.7,1.2,1.1,2000-12-25,2249,Terra,MODIS,31,6.2,305.6,12.7,D,0
-41.7896,174.0929,376.3,1.2,1.1,2000-12-25,2249,Terra,MODIS,100,6.2,311.7,159.3,D,0
-41.7913,174.1071,329.7,1.2,1.1,2000-12-25,2249,Terra,MODIS,77,6.2,305.3,20.3,D,0
-41.7976,174.076,322.6,1.2,1.1,2000-12-25,2249,Terra,MODIS,36,6.2,304.6,12.8,D,0
-41.7993,174.0905,344.7,1.2,1.1,2000-12-25,2249,Terra,MODIS,92,6.2,307.3,51.1,D,0
-41.8002,174.0841,335,1.2,1.1,2000-12-25,2249,Terra,MODIS,82,6.2,306.4,32.7,D,0
-41.802,174.0989,321.8,1.2,1.1,2000-12-25,2249,Terra,MODIS,65,6.2,304.4,12.3,D,0
-41.5922,174.0373,363.1,3.4,1.7,2000-12-26,1048,Terra,MODIS,100,6.2,292.4,561.3,N,0
-41.5937,173.9972,361.3,3.4,1.7,2000-12-26,1048,Terra,MODIS,100,6.2,289.9,534.3,N,0
-41.5748,174.0755,309.9,3.4,1.7,2000-12-26,1048,Terra,MODIS,23,6.2,287.4,56.3,N,0
-41.5763,174.0343,330.8,3.4,1.7,2000-12-26,1048,Terra,MODIS,100,6.2,288.1,182.1,N,0
-41.5989,174.0318,322.3,3.4,1.7,2000-12-26,1048,Terra,MODIS,100,6.2,288.7,126.8,N,0
-41.6006,173.9917,315.3,3.4,1.7,2000-12-26,1048,Terra,MODIS,88,6.2,286.3,90,N,0
-41.5813,174.0698,321.9,3.4,1.7,2000-12-26,1048,Terra,MODIS,100,6.2,288.5,118.9,N,0
-41.583,174.0297,367.6,3.4,1.7,2000-12-26,1048,Terra,MODIS,100,6.2,291.8,642.3,N,0
-41.5848,173.9897,344.7,3.4,1.7,2000-12-26,1048,Terra,MODIS,100,6.2,287.4,314.3,N,0
-41.5982,174.0393,319.9,3.7,1.8,2000-12-26,1226,Terra,MODIS,99,6.2,287,125.3,N,0
-41.5702,174.078,309.9,3.7,1.8,2000-12-26,1226,Terra,MODIS,58,6.2,286.1,68.3,N,0
-41.5823,174.0326,318,3.7,1.8,2000-12-26,1226,Terra,MODIS,96,6.2,286,115.7,N,0
-41.5466,173.9692,300.1,3.7,1.8,2000-12-26,1226,Terra,MODIS,12,6.2,284.4,35.6,N,0
-41.5929,174.032,327.4,3.7,1.8,2000-12-26,1226,Terra,MODIS,100,6.2,287.1,177,N,0
-41.577,174.0256,308.9,3.7,1.8,2000-12-26,1226,Terra,MODIS,20,6.2,285.2,62.2,N,0
-41.5953,174.0624,360,2.8,1.6,2000-12-26,2154,Terra,MODIS,99,6.2,306.2,338.8,D,0
-41.603,174.0939,353.1,2.8,1.6,2000-12-26,2154,Terra,MODIS,97,6.2,302.8,259.8,D,0
-41.5959,174.0564,347.9,2.8,1.6,2000-12-26,2154,Terra,MODIS,94,6.2,306,212.8,D,0
-41.6038,174.0881,352.5,2.8,1.6,2000-12-26,2154,Terra,MODIS,96,6.2,302.9,255.5,D,0
-41.5818,174.0379,321.6,4.5,2,2000-12-26,2332,Terra,MODIS,40,6.2,300.3,97.7,D,0
-41.5997,174.0351,326.9,4.5,2,2000-12-26,2332,Terra,MODIS,56,6.2,298.9,150.6,D,0
-41.6013,174.0949,339,4.6,2,2000-12-26,2332,Terra,MODIS,66,6.2,299.6,292.5,D,0
-41.6193,174.0955,321.4,4.6,2,2000-12-26,2332,Terra,MODIS,31,6.2,296.8,101.3,D,0
-41.5979,174.0277,329.1,4.5,2,2000-12-26,2332,Terra,MODIS,78,6.2,299.1,179.6,D,0
-41.5991,174.0869,333.8,4.6,2,2000-12-26,2332,Terra,MODIS,64,6.2,299.9,227.6,D,0
-41.6172,174.087,334.7,4.6,2,2000-12-26,2332,Terra,MODIS,65,6.2,297.5,256.3,D,0
-41.7877,174.066,306.5,1,1,2000-12-27,1131,Terra,MODIS,68,6.2,289.4,8.1,N,0
-41.7893,174.0538,311.3,1,1,2000-12-27,1131,Terra,MODIS,82,6.2,289.2,11.5,N,0
