latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.7469,10.4232,325.8,3.1,1.7,2000-11-02,1043,Terra,MODIS,56,6.2,312,41,D,0
12.4535,2.4049,324,1,1,2000-11-02,1044,Terra,MODIS,50,6.2,304.6,9.4,D,0
12.4521,2.4142,327.8,1,1,2000-11-02,1044,Terra,MODIS,75,6.2,304.3,14.2,D,0
12.4444,2.4036,325.6,1,1,2000-11-02,1044,Terra,MODIS,62,6.2,305.4,11.8,D,0
12.2504,2.346,333.9,1,1,2000-11-02,1044,Terra,MODIS,83,6.2,308.4,23.2,D,0
12.249,2.3553,329.2,1,1,2000-11-02,1044,Terra,MODIS,77,6.2,309.3,16.7,D,0
12.4831,2.4125,332.3,1.1,1.1,2000-11-04,1032,Terra,MODIS,63,6.2,314.5,18.7,D,0
12.3035,2.6277,321.2,1.1,1,2000-11-04,1032,Terra,MODIS,57,6.2,301.2,10.1,D,0
15.6419,4.3797,315.4,1.2,1.1,2000-11-05,2206,Terra,MODIS,91,6.2,295.2,16.1,N,0
15.6498,4.3672,307.2,1.2,1.1,2000-11-05,2206,Terra,MODIS,31,6.2,294.9,7.5,N,0
15.6481,4.3564,328.5,1.2,1.1,2000-11-05,2206,Terra,MODIS,100,6.2,295.1,32.7,N,0
15.6577,4.3548,350,1.2,1.1,2000-11-05,2206,Terra,MODIS,100,6.2,298.2,76.8,N,0
15.656,4.3439,324.7,1.2,1.1,2000-11-05,2206,Terra,MODIS,100,6.2,295.7,26.6,N,0
15.6673,4.3532,333.4,1.2,1.1,2000-11-05,2206,Terra,MODIS,100,6.2,296.4,40.7,N,0
15.6657,4.3423,310.5,1.2,1.1,2000-11-05,2206,Terra,MODIS,49,6.2,295,10.6,N,0
15.687,4.4164,306,1.2,1.1,2000-11-05,2206,Terra,MODIS,66,6.2,294.6,7.6,N,0
15.6853,4.4056,305.1,1.2,1.1,2000-11-05,2206,Terra,MODIS,63,6.2,294.9,6.9,N,0
15.6836,4.3948,305.1,1.2,1.1,2000-11-05,2206,Terra,MODIS,63,6.2,295,6.7,N,0
15.6893,4.4174,325.9,1.4,1.2,2000-11-06,1019,Terra,MODIS,57,6.2,306.3,14.4,D,0
12.3873,2.7723,315.6,1.6,1.3,2000-11-06,1020,Terra,MODIS,64,6.2,280.9,20.9,D,0
12.4114,2.6693,352.6,2.9,1.6,2000-11-08,1007,Terra,MODIS,96,6.2,306.9,262.3,D,0
12.4084,2.6957,338.3,2.9,1.6,2000-11-08,1007,Terra,MODIS,86,6.2,306.7,132.8,D,0
12.4213,2.6912,322.3,2.9,1.6,2000-11-08,1007,Terra,MODIS,33,6.2,304.5,34.8,D,0
12.4099,2.6631,344.9,2.9,1.6,2000-11-08,1007,Terra,MODIS,91,6.2,306.4,182.5,D,0
12.4067,2.6895,343.6,2.9,1.6,2000-11-08,1007,Terra,MODIS,90,6.2,306.7,171.9,D,0
12.3838,2.6335,337.1,2.9,1.6,2000-11-08,1007,Terra,MODIS,85,6.2,307.7,122.2,D,0
12.3722,2.6053,322.5,2.9,1.6,2000-11-08,1007,Terra,MODIS,39,6.2,305.4,36.6,D,0
12.3692,2.6318,322.4,2.9,1.6,2000-11-08,1007,Terra,MODIS,20,6.2,307.9,36,D,0
12.3683,2.6246,326.6,2.9,1.6,2000-11-08,1007,Terra,MODIS,51,6.2,307.7,54.9,D,0
13.5031,1.6143,330.4,1.1,1,2000-11-09,1050,Terra,MODIS,71,6.2,312.1,14,D,0
12.4911,2.2931,334.6,1.2,1.1,2000-11-09,1050,Terra,MODIS,79,6.2,312.5,24.1,D,0
12.4879,2.2867,325.9,1.2,1.1,2000-11-09,1050,Terra,MODIS,60,6.2,310.4,11.4,D,0
