latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.6509,13.5658,345.2,1,1,2000-11-01,1000,Terra,MODIS,87,6.2,317.5,34.6,D,0
13.6381,13.6504,333.1,1,1,2000-11-01,1000,Terra,MODIS,69,6.2,309.9,20,D,0
13.6419,13.5644,331.4,1,1,2000-11-01,1000,Terra,MODIS,29,6.2,314.2,11.2,D,0
13.5729,13.5952,332.3,1,1,2000-11-01,1000,Terra,MODIS,68,6.2,311,16.8,D,0
13.5704,13.4893,340,1,1,2000-11-01,1000,Terra,MODIS,84,6.2,310.8,31.6,D,0
13.5689,13.4987,332,1,1,2000-11-01,1000,Terra,MODIS,66,6.2,313,17.9,D,0
13.5562,13.583,330,1,1,2000-11-01,1000,Terra,MODIS,31,6.2,314.1,16.1,D,0
13.5195,13.7027,348.2,1,1,2000-11-01,1000,Terra,MODIS,92,6.2,316.1,42.5,D,0
13.2405,13.5349,336.6,1,1,2000-11-01,1001,Terra,MODIS,28,6.2,316,16.9,D,0
12.3057,14.2136,328.7,1.1,1,2000-11-01,1001,Terra,MODIS,50,6.2,316.2,8.7,D,0
11.9664,14.2697,331.1,1.1,1.1,2000-11-01,1001,Terra,MODIS,71,6.2,315.6,14.8,D,0
11.9649,14.2798,330,1.1,1.1,2000-11-01,1001,Terra,MODIS,69,6.2,315.6,12.8,D,0
11.957,14.2682,353,1.1,1.1,2000-11-01,1001,Terra,MODIS,95,6.2,315.3,59.5,D,0
11.9555,14.2783,328.4,1.1,1.1,2000-11-01,1001,Terra,MODIS,40,6.2,315.4,9.6,D,0
11.7453,14.5068,338.5,1.2,1.1,2000-11-01,1001,Terra,MODIS,76,6.2,312.9,29.5,D,0
11.771,14.2787,334,1.1,1.1,2000-11-01,1001,Terra,MODIS,43,6.2,317.8,14.2,D,0
11.7741,14.1962,331.8,1.1,1.1,2000-11-01,1001,Terra,MODIS,36,6.2,319.7,9.2,D,0
11.7615,14.2772,334.8,1.1,1.1,2000-11-01,1001,Terra,MODIS,65,6.2,316.5,15.4,D,0
12.0478,11.5722,330.8,1,1,2000-11-01,1001,Terra,MODIS,72,6.2,312.4,14.9,D,0
12.0464,11.5814,330.2,1,1,2000-11-01,1001,Terra,MODIS,71,6.2,314,14.5,D,0
11.5038,13.5564,328,1.1,1,2000-11-01,1001,Terra,MODIS,62,6.2,311.1,13.6,D,0
11.5273,13.1003,325.5,1,1,2000-11-01,1001,Terra,MODIS,50,6.2,311.3,8.4,D,0
11.4906,13.344,324.2,1,1,2000-11-01,1001,Terra,MODIS,43,6.2,311.6,6.8,D,0
11.4632,13.0366,329.6,1,1,2000-11-01,1001,Terra,MODIS,55,6.2,314.4,10.4,D,0
11.4333,13.051,331.6,1,1,2000-11-01,1001,Terra,MODIS,74,6.2,313.5,11.4,D,0
11.3353,13.3913,327.2,1,1,2000-11-01,1001,Terra,MODIS,49,6.2,314.8,9.5,D,0
11.3085,13.3909,348.6,1,1,2000-11-01,1001,Terra,MODIS,92,6.2,313.7,46.6,D,0
11.3071,13.4004,335.1,1.1,1,2000-11-01,1001,Terra,MODIS,75,6.2,314.8,20.1,D,0
11.2994,13.3895,335.7,1,1,2000-11-01,1001,Terra,MODIS,80,6.2,312.6,21.9,D,0
