latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-24.6805,-55.2207,310,1.1,1,2000-11-01,0233,Terra,MODIS,79,6.2,292.5,10.3,N,0
-24.6645,-55.1703,302.8,1.1,1,2000-11-01,0233,Terra,MODIS,52,6.2,291.6,5.4,N,0
-23.2871,-59.5727,322.1,1.8,1.3,2000-11-01,0233,Terra,MODIS,100,6.2,294.2,41,N,0
-22.8247,-59.7899,303.3,1.8,1.3,2000-11-01,0233,Terra,MODIS,55,6.2,291.3,11.9,N,0
-20.3594,-59.3399,306.2,1.5,1.2,2000-11-01,0234,Terra,MODIS,67,6.2,294.3,7.4,N,0
-24.6746,-54.9385,314.4,3.3,1.7,2000-11-01,1329,Terra,MODIS,57,6.2,295.7,30.3,D,0
-24.6815,-54.9062,314.5,3.3,1.7,2000-11-01,1329,Terra,MODIS,50,6.2,295,27.8,D,0
-24.68,-55.2192,313.4,3.5,1.8,2000-11-01,1329,Terra,MODIS,54,6.2,294.3,34,D,0
-24.6733,-55.2234,311.6,3.5,1.8,2000-11-01,1329,Terra,MODIS,41,6.2,294.2,26.7,D,0
-26.7632,-55.3673,323,3.2,1.7,2000-11-01,1330,Terra,MODIS,76,6.2,295.1,70.4,D,0
-26.7699,-55.3362,321.9,3.2,1.7,2000-11-01,1330,Terra,MODIS,75,6.2,294.9,63.9,D,0
-26.7594,-55.3733,317.6,3.2,1.7,2000-11-01,1330,Terra,MODIS,69,6.2,295.2,43.8,D,0
-26.7663,-55.3424,326.2,3.2,1.7,2000-11-01,1330,Terra,MODIS,80,6.2,295.2,89.5,D,0
-27.0299,-55.4951,318,3.2,1.7,2000-11-01,1330,Terra,MODIS,52,6.2,294,45.7,D,0
-27.0263,-55.5,315.9,3.2,1.7,2000-11-01,1330,Terra,MODIS,42,6.2,293.9,38.6,D,0
-21.116,-60.4881,321.6,3,1.7,2000-11-01,1506,Terra,MODIS,49,6.2,299.2,38.6,D,0
-21.1188,-60.4589,328.4,3,1.7,2000-11-01,1506,Terra,MODIS,77,6.2,300.9,77.2,D,0
-21.5345,-58.398,318.2,4.3,1.9,2000-11-01,1506,Terra,MODIS,53,6.2,294.1,72.2,D,0
