latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.1032,15.7145,309.2,2.2,1.4,2000-11-01,1004,Terra,MODIS,58,6.2,290.5,12.3,D,0
0.1077,15.5017,315.7,1.2,1.1,2000-11-03,0952,Terra,MODIS,61,6.2,293.8,10.6,D,0
-0.0676,15.4424,314.5,1.2,1.1,2000-11-03,0952,Terra,MODIS,69,6.2,293.1,10.9,D,0
-0.1943,15.6764,321.2,1.3,1.1,2000-11-03,0952,Terra,MODIS,77,6.2,291.8,19.2,D,0
-1.5459,15.9703,316.5,1.4,1.2,2000-11-03,0952,Terra,MODIS,68,6.2,295,12.6,D,0
-1.5537,15.9751,311.9,1.4,1.2,2000-11-03,0952,Terra,MODIS,52,6.2,293.5,7,D,0
-1.9753,14.7863,312.8,1.2,1.1,2000-11-03,0952,Terra,MODIS,42,6.2,295.8,4.5,D,0
-1.9768,14.7969,312.5,1.2,1.1,2000-11-03,0952,Terra,MODIS,27,6.2,294.3,5.1,D,0
-2.3733,15.2767,315,1.3,1.1,2000-11-03,0952,Terra,MODIS,52,6.2,294.3,9,D,0
-2.3738,15.2817,315.1,1.3,1.1,2000-11-03,0952,Terra,MODIS,61,6.2,294.1,9.5,D,0
-0.5753,16.0858,311.5,4.6,2,2000-11-04,0857,Terra,MODIS,62,6.2,288.6,49.3,D,0
-0.5747,16.0782,310.4,4.6,2,2000-11-04,0857,Terra,MODIS,55,6.2,288.3,42.6,D,0
-2.2051,14.2993,321.8,2.4,1.5,2000-11-08,1011,Terra,MODIS,79,6.2,291.8,50.4,D,0
-2.4116,14.805,314.4,2.6,1.6,2000-11-08,1011,Terra,MODIS,41,6.2,285.8,38.9,D,0
-2.4168,14.7974,319.6,2.6,1.6,2000-11-08,1011,Terra,MODIS,59,6.2,286.3,59.8,D,0
-1.9623,15.4095,325.4,2.1,1.4,2000-11-09,0916,Terra,MODIS,78,6.2,298.4,40.8,D,0
-1.9625,15.4026,325.1,2.1,1.4,2000-11-09,0916,Terra,MODIS,78,6.2,297.4,39.9,D,0
-2.1293,15.7249,318.8,2,1.4,2000-11-09,0916,Terra,MODIS,70,6.2,291.7,25.3,D,0
-1.2445,15.943,310.8,1.1,1.1,2000-11-12,0946,Terra,MODIS,54,6.2,291.8,5.7,D,0
-1.246,15.9529,313.2,1.1,1.1,2000-11-12,0946,Terra,MODIS,59,6.2,291.9,7.9,D,0
-1.09,15.6859,313.8,2.7,1.6,2000-11-18,0909,Terra,MODIS,65,6.2,291,31.8,D,0
-1.01,15.4495,311.5,1.2,1.1,2000-11-18,2130,Terra,MODIS,83,6.2,288.7,13.4,N,0
-1.0116,15.4386,316,1.2,1.1,2000-11-18,2130,Terra,MODIS,92,6.2,288.8,18.3,N,0
