latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.2596,55.7284,361,1,1,2000-11-01,0652,Terra,MODIS,100,6.2,312.5,83.3,D,2
-21.261,55.7388,423.8,1,1,2000-11-01,0652,Terra,MODIS,87,6.2,314.8,444.3,D,2
-21.266,55.7476,382.1,1.8,1.3,2000-11-03,1850,Terra,MODIS,100,6.2,291.4,394,N,2
-21.2677,55.7327,332.1,1.8,1.3,2000-11-03,1850,Terra,MODIS,100,6.2,285.2,83.6,N,2
-21.2542,55.7465,335.5,1.8,1.3,2000-11-03,1850,Terra,MODIS,100,6.2,283.3,94.9,N,2
-21.2557,55.7321,338,1.8,1.3,2000-11-03,1850,Terra,MODIS,100,6.2,285.3,104.6,N,2
-21.2697,55.7727,337,1.7,1.3,2000-11-04,1933,Terra,MODIS,100,6.2,287.7,88,N,2
-21.2736,55.7509,331.1,1.7,1.3,2000-11-04,1933,Terra,MODIS,100,6.2,283.1,70.7,N,2
-21.2585,55.7697,327.1,1.7,1.3,2000-11-04,1933,Terra,MODIS,100,6.2,285.1,58.7,N,2
-21.2625,55.7474,353.9,1.7,1.3,2000-11-04,1933,Terra,MODIS,100,6.2,285.2,156.4,N,2
-21.2615,55.7612,361.5,1.7,1.3,2000-11-04,1933,Terra,MODIS,100,6.2,287.6,197.7,N,2
-21.2651,55.7401,326.1,1.7,1.3,2000-11-04,1933,Terra,MODIS,100,6.2,283.3,57.2,N,2
-21.2624,55.7695,329.5,1.6,1.2,2000-11-05,0628,Terra,MODIS,82,6.2,296.5,46,D,2
-21.2734,55.7677,339.9,1.6,1.2,2000-11-05,0628,Terra,MODIS,90,6.2,297.3,75.7,D,2
-21.2696,55.7645,340.4,3,1.7,2000-11-05,1838,Terra,MODIS,100,6.2,286.3,236.4,N,2
-21.2713,55.7448,349.4,3,1.7,2000-11-05,1838,Terra,MODIS,100,6.2,285.4,325.6,N,2
-21.2546,55.7635,311.3,3,1.7,2000-11-05,1838,Terra,MODIS,74,6.2,284.5,66,N,2
-21.2563,55.7441,336.3,3,1.7,2000-11-05,1838,Terra,MODIS,100,6.2,283.7,207.2,N,2
-21.2703,55.76,345.3,3,1.7,2000-11-05,1838,Terra,MODIS,100,6.2,286.5,283.6,N,2
-21.2722,55.7396,331.3,3,1.7,2000-11-05,1838,Terra,MODIS,100,6.2,283,173.1,N,2
-21.2553,55.7593,337,3,1.7,2000-11-05,1838,Terra,MODIS,100,6.2,284.4,213,N,2
-21.2572,55.7391,338.3,3,1.7,2000-11-05,1838,Terra,MODIS,100,6.2,283.1,225.7,N,2
-21.2629,55.7628,347.3,1.1,1.1,2000-11-06,1921,Terra,MODIS,100,6.2,281.8,69.4,N,2
