latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.458,22.1045,307.9,1,1,2000-11-01,0951,Terra,MODIS,62,6.2,276.1,8.4,D,0
47.4561,22.1175,317,1,1,2000-11-01,0951,Terra,MODIS,77,6.2,276,15.3,D,0
47.1054,21.981,300.7,1,1,2000-11-01,0951,Terra,MODIS,40,6.2,280.7,4,D,0
46.7369,21.5914,304.3,1,1,2000-11-01,0951,Terra,MODIS,59,6.2,287.5,4.3,D,0
46.517,21.6995,303.6,1,1,2000-11-01,0951,Terra,MODIS,56,6.2,286.6,3.9,D,0
45.8962,20.944,306.9,1,1,2000-11-01,0952,Terra,MODIS,60,6.2,293.4,4.7,D,0
45.8607,20.9337,308.7,1,1,2000-11-01,0952,Terra,MODIS,67,6.2,292.4,7,D,0
45.8374,20.9666,317.1,1,1,2000-11-01,0952,Terra,MODIS,77,6.2,293.6,13.5,D,0
44.5879,28.6976,302,1.2,1.1,2000-11-12,0933,Terra,MODIS,50,6.2,289.6,5.2,D,0
45.2261,28.7873,308.5,3.9,1.8,2000-11-13,1016,Terra,MODIS,0,6.2,283.8,71.7,D,0
44.8986,29.5388,300.5,1,1,2000-11-14,0921,Terra,MODIS,38,6.2,286.5,4.8,D,0
44.8897,29.5361,326,1,1,2000-11-14,0921,Terra,MODIS,84,6.2,287,25.6,D,0
44.8878,29.5487,303.2,1,1,2000-11-14,0921,Terra,MODIS,55,6.2,286.1,6.3,D,0
45.0454,28.119,308.6,1,1,2000-11-14,0921,Terra,MODIS,67,6.2,288.8,8.8,D,0
44.4739,28.7366,304.9,1,1,2000-11-14,0921,Terra,MODIS,52,6.2,286.9,6.2,D,0
46.2472,21.9934,304.5,1.1,1,2000-11-14,2029,Terra,MODIS,60,6.2,284.5,10.3,N,0
44.8385,26.6006,300.9,2.1,1.4,2000-11-15,1004,Terra,MODIS,37,6.2,288.5,11.7,D,0
45.6878,20.8237,305.3,1.1,1,2000-11-15,1004,Terra,MODIS,61,6.2,276.6,7.9,D,0
45.6786,20.8205,302.2,1.1,1,2000-11-15,1004,Terra,MODIS,50,6.2,276.9,5.6,D,0
46.5045,25.9126,300.3,1.5,1.2,2000-11-16,0908,Terra,MODIS,31,6.2,286.3,8,D,0
45.3485,29.5045,308.1,1.1,1,2000-11-16,0909,Terra,MODIS,63,6.2,287.2,9.7,D,0
45.8335,25.2353,301.3,1.2,1.1,2000-11-17,0951,Terra,MODIS,46,6.2,276.2,7.3,D,0
45.9639,21.1165,320.1,1,1,2000-11-17,0952,Terra,MODIS,80,6.2,280.7,18.9,D,0
45.7676,22.3473,308.3,1,1,2000-11-17,0952,Terra,MODIS,66,6.2,275.7,10,D,0
45.7587,22.3444,312.3,1,1,2000-11-17,0952,Terra,MODIS,72,6.2,276.1,13,D,0
45.3542,22.1995,320.4,1,1,2000-11-17,0952,Terra,MODIS,80,6.2,283.3,17.7,D,0
45.3522,22.2122,336.8,1,1,2000-11-17,0952,Terra,MODIS,90,6.2,284.9,38.6,D,0
45.1496,22.3763,311.3,1,1,2000-11-17,0952,Terra,MODIS,71,6.2,281.7,12,D,0
44.8741,21.6781,324.2,1.2,1.1,2000-11-17,2059,Terra,MODIS,100,6.2,285.9,33.6,N,0
44.884,21.676,317,1.2,1.1,2000-11-17,2059,Terra,MODIS,94,6.2,284.8,24.1,N,0
45.3662,22.2111,303.4,1.3,1.1,2000-11-17,2059,Terra,MODIS,19,6.2,284.2,10.7,N,0
45.8821,24.0773,312.3,3.7,1.8,2000-11-18,1034,Terra,MODIS,69,6.2,287.8,77.7,D,0
46.857,22.7661,303.1,1,1,2000-11-19,0939,Terra,MODIS,55,6.2,285.6,6.8,D,0
45.2967,29.4534,424.8,1.4,1.2,2000-11-19,0939,Terra,MODIS,0,6.2,299.6,704,D,0
45.2933,29.4706,357.1,1.4,1.2,2000-11-19,0939,Terra,MODIS,93,6.2,287.9,123.2,D,0
