latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
45.8431,20.4047,303,1,1,2000-11-01,0952,Terra,MODIS,41,6.2,274.1,8,D,0
45.1065,21.2159,313.2,1,1,2000-11-01,0952,Terra,MODIS,73,6.2,291.8,9.8,D,0
44.3855,21.8075,320.9,1,1,2000-11-01,0952,Terra,MODIS,81,6.2,289.6,19.4,D,0
45.8614,19.085,302.3,1.1,1,2000-11-06,1010,Terra,MODIS,52,6.2,289.5,5,D,0
45.8545,19.0683,326,1.1,1,2000-11-06,1010,Terra,MODIS,84,6.2,290.8,26.4,D,0
45.8522,19.0819,336.6,1.1,1,2000-11-06,1010,Terra,MODIS,90,6.2,291.2,42.1,D,0
45.6904,19.3106,304,1.1,1,2000-11-06,1010,Terra,MODIS,58,6.2,291.2,5.6,D,0
45.3054,19.6568,308.6,1.1,1.1,2000-11-06,1010,Terra,MODIS,67,6.2,293.4,8.3,D,0
45.3029,19.671,309.1,1.1,1.1,2000-11-06,1010,Terra,MODIS,68,6.2,292.8,8.9,D,0
42.9232,21.5582,300.3,1.2,1.1,2000-11-12,0934,Terra,MODIS,35,6.2,285.7,5.6,D,0
44.0785,22.1035,311.2,1,1,2000-11-12,2041,Terra,MODIS,82,6.2,274.8,15.3,N,0
45.7283,20.1272,304.6,1.4,1.2,2000-11-13,1016,Terra,MODIS,59,6.2,287,9.3,D,0
45.7323,20.123,303.8,1.4,1.2,2000-11-13,1016,Terra,MODIS,54,6.2,287,8.6,D,0
45.6153,19.9623,300.1,1.3,1.1,2000-11-13,1016,Terra,MODIS,24,6.2,285.9,6.4,D,0
45.1692,21.363,316.6,1.6,1.2,2000-11-13,1016,Terra,MODIS,73,6.2,287.6,29.6,D,0
45.1584,21.3584,343.2,1.6,1.2,2000-11-13,1016,Terra,MODIS,88,6.2,288.3,97.2,D,0
45.1545,21.3774,301.4,1.6,1.2,2000-11-13,1016,Terra,MODIS,26,6.2,285.7,8.5,D,0
45.8726,19.0445,321.9,2.4,1.5,2000-11-14,0921,Terra,MODIS,81,6.2,283.9,73.3,D,0
45.865,19.0377,327.1,2.4,1.5,2000-11-14,0921,Terra,MODIS,85,6.2,284,89.8,D,0
45.401,20.7443,305,1.9,1.4,2000-11-14,0921,Terra,MODIS,60,6.2,288.6,15.1,D,0
45.8512,19.0684,300.3,4.2,1.9,2000-11-14,1059,Terra,MODIS,35,6.2,285.9,26.9,D,0
45.8485,19.0623,300.6,4.2,1.9,2000-11-14,1059,Terra,MODIS,35,6.2,286.5,27.3,D,0
45.7267,19.2891,300.6,4.4,1.9,2000-11-14,1059,Terra,MODIS,40,6.2,287.1,26.6,D,0
45.9796,20.3177,306.2,1.1,1,2000-11-15,1004,Terra,MODIS,63,6.2,289.1,7,D,0
