latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
3.0151,46.3321,312.8,3.1,1.7,2000-11-03,0812,Terra,MODIS,26,6.2,292.7,39.2,D,0
0.7166,41.6083,321,1.5,1.2,2000-11-03,0813,Terra,MODIS,45,6.2,300.2,20.6,D,0
3.2555,45.6698,320.3,1.6,1.2,2000-11-05,0800,Terra,MODIS,45,6.2,302.1,23.5,D,0
1.0673,43.4028,328.8,1,1,2000-11-07,0748,Terra,MODIS,78,6.2,299.1,18.2,D,0
4.214,43.187,318.1,2.2,1.5,2000-11-10,0818,Terra,MODIS,38,6.2,298.8,28.5,D,0
1.6439,44.2156,314.2,3,1.6,2000-11-10,0818,Terra,MODIS,56,6.2,294.7,36.6,D,0
0.9995,43.3307,314.3,2.6,1.6,2000-11-10,0819,Terra,MODIS,42,6.2,290.7,32.7,D,0
0.9001,43.2872,314.9,2.6,1.6,2000-11-10,0819,Terra,MODIS,31,6.2,294.6,31.4,D,0
2.7677,45.5483,302.4,1.1,1,2000-11-11,1946,Terra,MODIS,49,6.2,286.6,5.1,N,0
0.6371,42.6809,320.2,1.4,1.2,2000-11-12,0807,Terra,MODIS,41,6.2,298.7,15.1,D,0
2.9994,45.4472,332.5,1,1,2000-11-16,0741,Terra,MODIS,67,6.2,302.5,17.7,D,0
2.6625,44.6639,316.4,1,1,2000-11-23,0747,Terra,MODIS,12,6.2,298.1,10.1,D,0
1.5394,44.0598,318.7,1.1,1,2000-11-30,0753,Terra,MODIS,40,6.2,301,10.3,D,0
0.0485,42.9016,312.2,4.3,1.9,2000-12-10,0830,Terra,MODIS,17,6.2,292.7,62.9,D,0
0.046,42.896,311.8,4.3,1.9,2000-12-10,0830,Terra,MODIS,0,6.2,292,60.2,D,0
1.6265,44.281,321.6,1,1,2000-12-18,0741,Terra,MODIS,47,6.2,306.2,6.6,D,0
0.816,43.2048,328.5,1.1,1.1,2000-12-18,0741,Terra,MODIS,75,6.2,302.5,22,D,0
0.8085,43.225,316.5,3.4,1.7,2000-12-19,0824,Terra,MODIS,42,6.2,292.5,51,D,0
0.8138,43.219,322.1,3.4,1.7,2000-12-19,0824,Terra,MODIS,64,6.2,293.1,81.3,D,0
1.0858,43.6942,325.6,1.6,1.3,2000-12-20,0729,Terra,MODIS,74,6.2,296,30.1,D,0
1.1076,43.7448,318.8,1,1,2000-12-25,0747,Terra,MODIS,52,6.2,295.7,7.4,D,0
0.8303,43.2241,325.5,2.6,1.5,2000-12-28,0818,Terra,MODIS,72,6.2,301.7,59.3,D,0
0.8164,43.2221,321.4,2.6,1.5,2000-12-28,0818,Terra,MODIS,63,6.2,300.6,46,D,0
0.2886,42.678,321.2,2.5,1.5,2000-12-29,0723,Terra,MODIS,60,6.2,300.1,37.8,D,0
0.2789,42.6926,321.1,2.5,1.5,2000-12-29,0723,Terra,MODIS,64,6.2,299.2,37.8,D,0
0.7688,43.1308,330.8,1.5,1.2,2000-12-30,0806,Terra,MODIS,79,6.2,298.3,36.8,D,0
0.7656,43.1238,320,1.5,1.2,2000-12-30,0806,Terra,MODIS,56,6.2,298.7,15.6,D,0
0.7637,43.1369,320.5,1.5,1.2,2000-12-30,0806,Terra,MODIS,58,6.2,296.3,17.1,D,0
0.2817,42.6992,319.6,1.4,1.2,2000-12-30,0806,Terra,MODIS,40,6.2,298.5,13.9,D,0
