latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-27.6124,29.1471,319.6,1,1,2000-11-01,0833,Terra,MODIS,74,6.2,291,14,D,0
-27.9542,25.4723,329.7,1.1,1.1,2000-11-01,0833,Terra,MODIS,73,6.2,311.8,15,D,0
-27.9561,25.4839,327,1.1,1.1,2000-11-01,0833,Terra,MODIS,68,6.2,310.4,10.7,D,0
-28.3874,28.2667,325.9,1,1,2000-11-01,0833,Terra,MODIS,77,6.2,301,17.7,D,0
-29.0621,29.6108,352.6,1.1,1,2000-11-01,0833,Terra,MODIS,96,6.2,295.6,72.1,D,0
-29.0636,29.6219,362.5,1.1,1,2000-11-01,0833,Terra,MODIS,100,6.2,295.4,100.3,D,0
-29.0687,29.6149,309.2,1.1,1,2000-11-01,0833,Terra,MODIS,25,6.2,291.9,7.1,D,0
-29.6649,29.7515,313.8,1.1,1,2000-11-01,0833,Terra,MODIS,65,6.2,293.5,9.5,D,0
-34.0558,18.7091,317.8,1.2,1.1,2000-11-02,0918,Terra,MODIS,38,6.2,302.9,6.7,D,0
-23.2667,31.4964,301.2,2.7,1.6,2000-11-02,2124,Terra,MODIS,38,6.2,272.1,31.9,N,0
-25.6159,27.2174,312.1,1.5,1.2,2000-11-03,0820,Terra,MODIS,45,6.2,295.2,6.9,D,0
-25.6212,27.2251,315,1.5,1.2,2000-11-03,0820,Terra,MODIS,60,6.2,297.3,10,D,2
-31.1325,28.2574,311.7,1.1,1,2000-11-03,0822,Terra,MODIS,39,6.2,294.1,6.9,D,0
-33.4587,19.1242,320.1,1.3,1.1,2000-11-03,2204,Terra,MODIS,84,6.2,285.9,28.1,N,0
-26.2161,26.329,320.5,1.7,1.3,2000-11-04,0903,Terra,MODIS,39,6.2,307.7,15.8,D,0
-26.2277,26.3276,321.7,1.7,1.3,2000-11-04,0903,Terra,MODIS,53,6.2,309,18,D,0
-28.3543,29.8434,311.7,3.2,1.7,2000-11-04,0904,Terra,MODIS,48,6.2,298.7,22.5,D,0
-31.4846,24.7348,303,1.3,1.1,2000-11-04,2109,Terra,MODIS,53,6.2,283.5,10.7,N,0
-31.4862,24.7212,305.9,1.3,1.1,2000-11-04,2109,Terra,MODIS,66,6.2,284.2,13.2,N,0
-25.8835,29.0776,326.9,1.1,1,2000-11-04,2111,Terra,MODIS,100,6.2,285.9,31.9,N,2
-25.8852,29.0667,304.8,1.1,1,2000-11-04,2111,Terra,MODIS,62,6.2,284.5,9.9,N,2
-26.186,25.9907,302.1,1,1,2000-11-04,2111,Terra,MODIS,47,6.2,285.4,7.8,N,0
-25.7118,27.4047,301.8,1,1,2000-11-04,2111,Terra,MODIS,44,6.2,287.7,6.5,N,2
-23.3084,31.4706,304.1,1.6,1.3,2000-11-04,2111,Terra,MODIS,12,6.2,293.7,9.9,N,0
-23.2943,31.4841,309.2,1.6,1.3,2000-11-04,2111,Terra,MODIS,32,6.2,294,15.4,N,0
-24.1084,29.8536,339.7,1.7,1.3,2000-11-05,0808,Terra,MODIS,83,6.2,296.5,75.6,D,0
-25.8149,29.4986,321,1.6,1.3,2000-11-05,0808,Terra,MODIS,63,6.2,303.7,18.8,D,2
-25.813,29.4922,316.7,1.6,1.3,2000-11-05,0808,Terra,MODIS,57,6.2,303.7,11.5,D,2
-26.6974,30.214,316.2,1.4,1.2,2000-11-05,0808,Terra,MODIS,60,6.2,303.8,9.1,D,0
-26.8708,29.5779,318.6,1.5,1.2,2000-11-05,0808,Terra,MODIS,64,6.2,305.9,13.2,D,0
-27.703,30.0224,314.6,1.4,1.2,2000-11-05,0809,Terra,MODIS,55,6.2,301.4,10.8,D,0
-30.3697,28.7665,318.8,1.5,1.2,2000-11-05,0809,Terra,MODIS,62,6.2,304.5,13,D,0
-33.4923,19.1349,302.4,1,1,2000-11-05,2152,Terra,MODIS,49,6.2,289.8,6.1,N,0
-33.4732,19.148,323.8,1,1,2000-11-05,2152,Terra,MODIS,100,6.2,291.1,22.9,N,0
-33.4749,19.137,328.3,1,1,2000-11-05,2152,Terra,MODIS,100,6.2,291.4,28.2,N,0
-33.4625,19.1566,300.5,1,1,2000-11-05,2152,Terra,MODIS,29,6.2,289.7,4.6,N,0
-33.4642,19.1456,317.3,1,1,2000-11-05,2152,Terra,MODIS,95,6.2,289.6,16.5,N,0
-24.2572,27.2123,318.9,1.2,1.1,2000-11-06,0851,Terra,MODIS,49,6.2,304.6,7.8,D,0
-25.0958,30.1703,315.2,1.9,1.3,2000-11-06,0851,Terra,MODIS,44,6.2,300.9,12.9,D,0
-25.157,30.604,319.3,2,1.4,2000-11-06,0851,Terra,MODIS,64,6.2,293.4,33.6,D,0
-25.3274,30.5202,318.4,2,1.4,2000-11-06,0851,Terra,MODIS,60,6.2,291.1,30.9,D,0
-25.3294,30.5145,312.4,2,1.4,2000-11-06,0851,Terra,MODIS,40,6.2,289.6,18.8,D,0
-25.3314,30.5345,315.3,2,1.4,2000-11-06,0851,Terra,MODIS,59,6.2,293.1,25.5,D,0
-25.6199,28.2839,317.5,1.4,1.2,2000-11-06,0851,Terra,MODIS,62,6.2,301.7,12.2,D,0
-25.9851,30.3507,316.5,2,1.4,2000-11-06,0851,Terra,MODIS,53,6.2,299.2,21.5,D,0
-25.9975,30.3493,322.8,2,1.4,2000-11-06,0851,Terra,MODIS,74,6.2,301.3,40.8,D,0
-25.7143,27.408,319.1,1.3,1.1,2000-11-06,0851,Terra,MODIS,61,6.2,299,8.5,D,2
-25.8898,28.3429,325.7,1.5,1.2,2000-11-06,0851,Terra,MODIS,77,6.2,300.8,28.5,D,0
-25.8915,28.3573,330.9,1.5,1.2,2000-11-06,0851,Terra,MODIS,82,6.2,301.4,39.4,D,0
-25.9023,28.3561,314.6,1.5,1.2,2000-11-06,0851,Terra,MODIS,55,6.2,299.5,10.2,D,0
-25.8943,28.3505,338.3,1.5,1.2,2000-11-06,0851,Terra,MODIS,88,6.2,301.7,58.2,D,0
-26.2129,30.686,334.8,2.1,1.4,2000-11-06,0851,Terra,MODIS,86,6.2,296.9,97.8,D,0
-26.2151,30.7076,326.4,2.1,1.4,2000-11-06,0851,Terra,MODIS,79,6.2,296.8,64.6,D,0
-26.3865,30.4839,316.6,2.1,1.4,2000-11-06,0851,Terra,MODIS,66,6.2,298.4,25.6,D,0
-26.3886,30.505,315.6,2.1,1.4,2000-11-06,0851,Terra,MODIS,63,6.2,298,23.2,D,0
-26.3891,30.4991,319.6,2.1,1.4,2000-11-06,0851,Terra,MODIS,71,6.2,297.5,30.5,D,0
-26.4734,30.704,322.7,2.1,1.4,2000-11-06,0851,Terra,MODIS,73,6.2,298.2,43,D,0
-26.4755,30.7259,327.5,2.1,1.4,2000-11-06,0851,Terra,MODIS,80,6.2,299.5,62.9,D,0
-26.5556,30.7537,320.9,2.2,1.4,2000-11-06,0851,Terra,MODIS,74,6.2,298,42.5,D,0
-26.6515,30.5438,319.9,2.1,1.4,2000-11-06,0851,Terra,MODIS,71,6.2,300.6,32.6,D,0
