latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
5.8219,-56.0909,312.9,2.6,1.5,2000-11-01,1459,Terra,MODIS,62,6.2,293.9,29,D,0
5.0797,-55.1998,310.6,1.9,1.4,2000-11-02,1404,Terra,MODIS,56,6.2,294.5,11.2,D,0
5.8318,-55.3636,313.4,1.7,1.3,2000-11-03,1447,Terra,MODIS,60,6.2,294.6,13,D,0
5.3805,-55.934,310.6,1.6,1.2,2000-11-03,1447,Terra,MODIS,60,6.2,294.9,10.7,D,0
4.6426,-54.95,313.2,1.2,1.1,2000-11-05,1435,Terra,MODIS,48,6.2,294.9,8.1,D,0
4.641,-54.9395,315.1,1.2,1.1,2000-11-05,1435,Terra,MODIS,0,6.2,293.9,10.1,D,0
5.7383,-54.0361,318.2,1.3,1.1,2000-11-09,1410,Terra,MODIS,51,6.2,298.3,11.5,D,0
5.7283,-54.0374,333.7,1.3,1.1,2000-11-09,1410,Terra,MODIS,86,6.2,297.8,35.9,D,0
5.7267,-54.0262,320.4,1.3,1.1,2000-11-09,1410,Terra,MODIS,62,6.2,297.1,13,D,0
4.1652,-55.5354,328.6,1,1,2000-11-14,1429,Terra,MODIS,83,6.2,295.9,22.2,D,0
2.052,-55.9298,311.7,3.1,1.7,2000-11-17,1500,Terra,MODIS,63,6.2,285.6,25.6,D,0
5.1664,-56.0717,313.5,1.2,1.1,2000-11-28,1440,Terra,MODIS,54,6.2,294.4,10.4,D,0
4.971,-56.7085,303.4,2.4,1.5,2000-12-19,1459,Terra,MODIS,41,6.2,287.6,10.4,D,0
