latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-26.69,30.8017,321.5,2.2,1.4,2000-11-06,0851,Terra,MODIS,75,6.2,297.6,43.5,D,0
-26.688,30.7949,323,2.2,1.4,2000-11-06,0851,Terra,MODIS,62,6.2,298,44.1,D,0
-26.8484,31.9589,308.8,1.6,1.3,2000-11-08,0839,Terra,MODIS,57,6.2,276.9,13.5,D,0
-26.8467,31.9526,319.1,1.6,1.3,2000-11-08,0839,Terra,MODIS,75,6.2,278.3,28.9,D,0
-26.3043,31.4751,320,1.5,1.2,2000-11-14,0802,Terra,MODIS,72,6.2,298,17.8,D,0
-25.9547,31.67,315.1,1.9,1.3,2000-11-23,0756,Terra,MODIS,63,6.2,294.6,17.8,D,0
-26.1805,31.9722,347.5,1.3,1.1,2000-12-03,0832,Terra,MODIS,93,6.2,308.1,66.5,D,0
-26.5818,30.995,315.9,3.7,1.8,2000-12-06,0902,Terra,MODIS,57,6.2,298.7,47,D,0
-26.5891,30.987,316.1,3.7,1.8,2000-12-06,0902,Terra,MODIS,60,6.2,299.3,51.8,D,0
-26.5695,30.982,325.5,1.3,1.1,2000-12-07,0807,Terra,MODIS,63,6.2,299.7,17.2,D,0
-26.5796,30.9799,351.3,1.3,1.1,2000-12-07,0807,Terra,MODIS,95,6.2,301.3,79.3,D,0
-26.7423,31.9377,336,1.2,1.1,2000-12-07,0807,Terra,MODIS,86,6.2,302.4,32.3,D,0
-26.574,30.8869,328.8,1.3,1.1,2000-12-07,0807,Terra,MODIS,79,6.2,302,27.7,D,0
-26.7104,30.7901,321.3,1.3,1.1,2000-12-07,0807,Terra,MODIS,69,6.2,301.6,18.5,D,0
-27.2264,31.337,328,1.2,1.1,2000-12-07,0807,Terra,MODIS,78,6.2,302.5,19.3,D,0
-26.1292,31.9256,328.4,1.6,1.2,2000-12-10,0838,Terra,MODIS,84,6.2,293.1,38.6,D,0
-26.4168,32.0593,309.7,1.6,1.2,2000-12-10,0838,Terra,MODIS,52,6.2,290.4,8.3,D,0
-26.9146,31.467,304.6,1,1,2000-12-17,2051,Terra,MODIS,61,6.2,290.2,6.2,N,0
-26.5867,30.8981,331.4,1.1,1.1,2000-12-19,0832,Terra,MODIS,84,6.2,290.4,29.3,D,0
-26.5963,30.8966,341.4,1.1,1.1,2000-12-19,0832,Terra,MODIS,91,6.2,290.2,47.2,D,0
-26.5977,30.908,328.2,1.1,1.1,2000-12-19,0832,Terra,MODIS,78,6.2,288.9,23.9,D,0
