latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.1432,40.8127,312.6,1.1,1,2000-11-01,0815,Terra,MODIS,63,6.2,291.8,10.4,D,0
35.0536,40.8615,329.5,1.1,1,2000-11-01,0816,Terra,MODIS,83,6.2,297.6,23.5,D,2
34.6682,40.9252,310.7,1,1,2000-11-01,0816,Terra,MODIS,53,6.2,298.4,4.3,D,0
35.1025,40.6714,313.9,2.6,1.5,2000-11-02,0858,Terra,MODIS,62,6.2,300,20.7,D,2
35.0583,40.8644,312.3,2.7,1.6,2000-11-02,0858,Terra,MODIS,30,6.2,298.1,14.4,D,2
34.9365,40.9994,304.3,1.8,1.3,2000-11-02,2001,Terra,MODIS,60,6.2,281.4,23.1,N,2
35.0499,40.86,313.7,1.8,1.3,2000-11-02,2001,Terra,MODIS,88,6.2,281.8,36.1,N,2
35.0481,40.8409,302.7,1.7,1.3,2000-11-02,2001,Terra,MODIS,51,6.2,281.1,19.2,N,2
35.0573,40.8535,326.4,1.8,1.3,2000-11-02,2001,Terra,MODIS,100,6.2,281.6,64,N,2
35.0542,40.8487,318.6,1.4,1.2,2000-11-03,0803,Terra,MODIS,71,6.2,298,17.2,D,2
35.0525,40.8643,315.8,1.4,1.2,2000-11-03,0803,Terra,MODIS,65,6.2,296.6,12.8,D,2
35.0553,40.8574,310.7,2.1,1.4,2000-11-03,1906,Terra,MODIS,81,6.2,281.5,42.9,N,2
35.0549,40.8511,314.6,2.1,1.4,2000-11-03,1906,Terra,MODIS,90,6.2,281.4,52.2,N,2
35.0475,40.8584,324.1,1.7,1.3,2000-11-04,0846,Terra,MODIS,76,6.2,302.8,28.2,D,2
35.0506,40.8528,330.6,1.7,1.3,2000-11-04,0846,Terra,MODIS,82,6.2,302.8,45.4,D,2
34.9834,40.8909,316.2,1.7,1.3,2000-11-04,0846,Terra,MODIS,62,6.2,303.2,11.3,D,2
34.8675,41.039,309.5,1.2,1.1,2000-11-04,1949,Terra,MODIS,77,6.2,281.8,17.1,N,2
34.934,40.9945,324.7,1.2,1.1,2000-11-04,1949,Terra,MODIS,100,6.2,282.4,34.8,N,2
35.0513,40.856,327.3,1.2,1.1,2000-11-04,1949,Terra,MODIS,100,6.2,282.7,37.7,N,2
35.109,40.6761,300.2,1.2,1.1,2000-11-04,1949,Terra,MODIS,20,6.2,282,8.7,N,2
35.1074,40.6634,300.2,1.2,1.1,2000-11-04,1949,Terra,MODIS,21,6.2,281.9,8.7,N,0
35.1113,40.6698,304,1.2,1.1,2000-11-04,1949,Terra,MODIS,58,6.2,281.8,11.9,N,0
35.1039,40.6717,320.8,1.1,1.1,2000-11-06,0834,Terra,MODIS,73,6.2,301.9,13.6,D,2
35.048,40.8596,327,1.2,1.1,2000-11-06,0834,Terra,MODIS,79,6.2,299.8,21.7,D,2
34.9916,40.898,313.8,1.2,1.1,2000-11-06,0834,Terra,MODIS,56,6.2,300.5,5.9,D,2
34.9103,40.8316,314.6,1.2,1.1,2000-11-06,0834,Terra,MODIS,59,6.2,301.6,6.5,D,2
35.4417,36.2657,311.9,1.1,1,2000-11-06,0834,Terra,MODIS,35,6.2,301.4,6.3,D,0
34.8693,41.0341,309.7,1,1,2000-11-06,1936,Terra,MODIS,78,6.2,280.2,13.7,N,2
34.9375,40.9974,308.2,1,1,2000-11-06,1936,Terra,MODIS,74,6.2,280.8,12.4,N,2
34.936,40.9866,300.7,1,1,2000-11-06,1936,Terra,MODIS,32,6.2,280.1,8,N,2
34.9872,40.8913,303.1,1,1,2000-11-06,1936,Terra,MODIS,53,6.2,281.5,9.3,N,2
