latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.9815,35.8116,332.8,1.1,1.1,2000-11-01,0826,Terra,MODIS,78,6.2,302.6,26.1,D,0
-2.9829,35.8214,324.2,1.1,1.1,2000-11-01,0826,Terra,MODIS,46,6.2,298.7,14.7,D,0
-5.3378,38.8347,320.5,1.9,1.4,2000-11-01,0827,Terra,MODIS,62,6.2,292.1,32.6,D,0
-5.0317,35.6341,328.8,1.2,1.1,2000-11-01,0827,Terra,MODIS,67,6.2,304.4,15.4,D,0
-5.2907,36.0973,317.3,1.2,1.1,2000-11-01,0827,Terra,MODIS,21,6.2,282.9,11.8,D,0
-5.3855,36.3353,332.7,1.3,1.1,2000-11-01,0827,Terra,MODIS,82,6.2,301.7,22.4,D,0
-5.3234,35.6084,326.5,1.2,1.1,2000-11-01,0827,Terra,MODIS,69,6.2,302.2,12.4,D,0
-5.453,35.8746,343.3,1.2,1.1,2000-11-01,0827,Terra,MODIS,89,6.2,310.3,38.4,D,0
-5.4545,35.8854,363.3,1.2,1.1,2000-11-01,0827,Terra,MODIS,100,6.2,310.6,100,D,0
-5.4879,35.7716,328.7,1.2,1.1,2000-11-01,0827,Terra,MODIS,71,6.2,306,15.3,D,0
-5.5212,35.848,327.8,1.2,1.1,2000-11-01,0827,Terra,MODIS,64,6.2,305.2,15.7,D,0
-5.5644,35.9414,329.7,1.2,1.1,2000-11-01,0827,Terra,MODIS,62,6.2,309.2,13.5,D,0
-5.5659,35.9523,328,1.2,1.1,2000-11-01,0827,Terra,MODIS,52,6.2,307.9,11.9,D,0
-5.604,35.8692,326.6,1.2,1.1,2000-11-01,0827,Terra,MODIS,41,6.2,305.4,11.9,D,0
-5.6051,35.8626,324.2,1.2,1.1,2000-11-01,0827,Terra,MODIS,46,6.2,305,8.7,D,0
-5.8143,36.9891,325.1,1.4,1.2,2000-11-01,0827,Terra,MODIS,64,6.2,303.9,9.9,D,0
-5.9537,36.7513,325.7,1.4,1.2,2000-11-01,0827,Terra,MODIS,37,6.2,305.3,12.4,D,0
-5.8965,35.9043,326.1,1.2,1.1,2000-11-01,0827,Terra,MODIS,43,6.2,305.3,8.5,D,0
-7.1622,36.5569,319.4,1.4,1.2,2000-11-01,0827,Terra,MODIS,48,6.2,286.8,17.3,D,0
-7.5237,38.9698,320.9,2.1,1.4,2000-11-01,0827,Terra,MODIS,69,6.2,290.6,38.8,D,0
-7.7533,36.7381,325.5,1.5,1.2,2000-11-01,0827,Terra,MODIS,75,6.2,291.6,27.9,D,0
-10.1318,39.4214,326.9,2.5,1.5,2000-11-01,0828,Terra,MODIS,73,6.2,294.4,70,D,0
-8.2293,35.8488,315.7,4.7,2,2000-11-02,0732,Terra,MODIS,50,6.2,293.6,63.4,D,0
-10.7473,37.7383,324.9,3,1.6,2000-11-02,0733,Terra,MODIS,75,6.2,297,47.1,D,0
-10.7471,37.7323,324.5,3,1.6,2000-11-02,0733,Terra,MODIS,74,6.2,297,45.2,D,0
-7.6404,37.2964,304.2,2.5,1.5,2000-11-02,1950,Terra,MODIS,59,6.2,282.7,22.3,N,0
-7.2213,37.2902,308.1,2.5,1.5,2000-11-02,1950,Terra,MODIS,68,6.2,289.5,27.6,N,0
-7.2242,37.2673,304.4,2.5,1.5,2000-11-02,1950,Terra,MODIS,28,6.2,289.4,18.5,N,0
-7.228,37.2858,306.1,2.5,1.5,2000-11-02,1950,Terra,MODIS,67,6.2,289.3,24.5,N,0
-7.2144,37.2838,319.9,2.5,1.5,2000-11-02,1950,Terra,MODIS,99,6.2,290.2,64.4,N,0
-7.2174,37.2611,315.9,2.5,1.5,2000-11-02,1950,Terra,MODIS,92,6.2,289.9,50.5,N,0
-7.1238,34.0325,306.6,4.5,2,2000-11-02,1950,Terra,MODIS,60,6.2,275.5,92.4,N,0
-7.1229,34.0276,309.2,4.5,2,2000-11-02,1950,Terra,MODIS,63,6.2,275.6,106.8,N,0
-3.1459,35.7236,337.5,1,1,2000-11-03,0814,Terra,MODIS,79,6.2,305.4,29,D,0
-4.8614,35.6172,334.8,1,1,2000-11-03,0814,Terra,MODIS,80,6.2,311.4,13.3,D,0
-5.2958,36.6891,346.9,1,1,2000-11-03,0814,Terra,MODIS,92,6.2,312,35,D,0
-5.2489,36.1209,328.9,1,1,2000-11-03,0814,Terra,MODIS,49,6.2,305.3,11.1,D,0
-5.2093,34.7392,330.6,1.1,1,2000-11-03,0815,Terra,MODIS,59,6.2,308.9,12.2,D,0
