latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
2.9083,31.712,323.6,1.1,1,2000-11-06,0843,Terra,MODIS,78,6.2,297.1,15.5,D,0
2.9015,31.705,317,1.1,1,2000-11-06,0843,Terra,MODIS,70,6.2,297.1,10,D,0
2.9002,31.7144,316.8,1.1,1,2000-11-06,0843,Terra,MODIS,70,6.2,296.9,9.9,D,0
2.7815,31.7679,316.9,1.1,1,2000-11-06,0843,Terra,MODIS,69,6.2,296.1,9.1,D,0
2.7801,31.7773,318.4,1.1,1,2000-11-06,0843,Terra,MODIS,72,6.2,296.2,10.9,D,0
2.7787,31.7868,311.6,1.1,1,2000-11-06,0843,Terra,MODIS,28,6.2,295.5,4.7,D,0
2.6523,31.6379,326,1.1,1,2000-11-06,0843,Terra,MODIS,80,6.2,298.1,18.2,D,0
2.5029,31.7195,319.8,1.1,1,2000-11-06,0843,Terra,MODIS,73,6.2,296.3,11.2,D,0
2.5015,31.729,322.4,1.1,1,2000-11-06,0843,Terra,MODIS,76,6.2,297.4,13.9,D,0
3.1919,33.6938,324.8,1.2,1.1,2000-11-10,0818,Terra,MODIS,58,6.2,303.6,16.5,D,0
2.9422,33.941,322.8,1.2,1.1,2000-11-10,0819,Terra,MODIS,70,6.2,305.6,12.1,D,0
2.9407,33.9514,319.9,1.2,1.1,2000-11-10,0819,Terra,MODIS,41,6.2,302.9,7.4,D,0
2.8293,33.4493,314.3,1.3,1.1,2000-11-10,0819,Terra,MODIS,50,6.2,299.1,7.8,D,0
2.8412,31.6826,313,1.7,1.3,2000-11-10,0819,Terra,MODIS,60,6.2,295.1,11.4,D,0
2.5965,31.7102,326.8,1.6,1.3,2000-11-10,0819,Terra,MODIS,81,6.2,295.5,36.8,D,0
2.2107,33.9781,316.9,1.2,1.1,2000-11-10,0819,Terra,MODIS,67,6.2,290.4,11.5,D,0
3.623,31.3779,317.2,1.9,1.4,2000-11-11,0901,Terra,MODIS,72,6.2,293.7,25.2,D,0
3.2838,31.3564,314.3,1.9,1.4,2000-11-11,0901,Terra,MODIS,68,6.2,293.7,16.1,D,0
2.8752,31.6318,312.7,2.1,1.4,2000-11-11,0901,Terra,MODIS,67,6.2,286.3,21,D,0
2.832,31.663,308.4,2.1,1.4,2000-11-11,0902,Terra,MODIS,51,6.2,282.3,12.8,D,0
2.7715,31.8847,310.5,2.2,1.4,2000-11-11,0902,Terra,MODIS,36,6.2,288.2,17.7,D,0
2.658,31.8562,315.2,2.2,1.4,2000-11-11,0902,Terra,MODIS,71,6.2,292.5,25.5,D,0
2.6556,31.7012,322.4,2.1,1.4,2000-11-11,0902,Terra,MODIS,79,6.2,291.7,43.3,D,0
2.6001,31.8086,323.7,2.2,1.4,2000-11-11,0902,Terra,MODIS,80,6.2,293.1,43.6,D,0
2.6105,31.823,315.9,2.2,1.4,2000-11-11,0902,Terra,MODIS,65,6.2,292.9,23.2,D,0
2.6006,31.8021,320.8,2.2,1.4,2000-11-11,0902,Terra,MODIS,78,6.2,293.1,37.1,D,0
2.556,31.5855,312.9,2.1,1.4,2000-11-11,0902,Terra,MODIS,69,6.2,291.4,17.4,D,0
