latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.4833,38.7947,300.4,1.9,1.3,2000-11-01,0812,Terra,MODIS,31,6.2,287,11.9,D,0
48.2113,38.2567,302.8,2,1.4,2000-11-01,0812,Terra,MODIS,47,6.2,286,16.8,D,2
47.1553,37.5356,309.4,2.1,1.4,2000-11-01,0813,Terra,MODIS,69,6.2,287,28.8,D,2
51.2204,25.3219,302.7,1,1,2000-11-01,0950,Terra,MODIS,53,6.2,288.8,5.9,D,0
51.1641,25.385,301.8,1,1,2000-11-01,0950,Terra,MODIS,49,6.2,289.6,5.3,D,0
51.0557,25.474,315.2,1,1,2000-11-01,0950,Terra,MODIS,75,6.2,288.3,14.8,D,0
51.0532,25.4886,353.8,1,1,2000-11-01,0950,Terra,MODIS,97,6.2,290,76.4,D,0
50.674,25.4001,302.9,1.1,1,2000-11-01,0950,Terra,MODIS,0,6.2,287.9,5.9,D,0
49.8929,29.2202,309.6,1.5,1.2,2000-11-01,0950,Terra,MODIS,69,6.2,286.2,18.2,D,0
50.5311,25.5214,304.6,1.1,1,2000-11-01,0950,Terra,MODIS,59,6.2,288.1,6.7,D,0
50.6798,24.3879,307.5,1,1,2000-11-01,0950,Terra,MODIS,66,6.2,285.1,8.6,D,0
48.973,29.6982,301.1,1.6,1.2,2000-11-01,0950,Terra,MODIS,45,6.2,286.1,10.1,D,0
48.7496,29.1788,316.5,1.5,1.2,2000-11-01,0950,Terra,MODIS,77,6.2,287.5,28.3,D,0
48.739,29.1738,306.8,1.5,1.2,2000-11-01,0950,Terra,MODIS,33,6.2,287.7,13.7,D,0
49.5695,23.4383,303.8,1,1,2000-11-01,0950,Terra,MODIS,57,6.2,286.8,5.6,D,0
49.548,23.517,347.1,1,1,2000-11-01,0950,Terra,MODIS,95,6.2,291.3,53.6,D,0
49.5459,23.5306,326.6,1,1,2000-11-01,0950,Terra,MODIS,84,6.2,286.4,21.9,D,0
49.7475,37.2753,300.8,1,1,2000-11-02,0855,Terra,MODIS,41,6.2,285.2,5.3,D,0
49.4079,37.0007,310.7,1,1,2000-11-02,0855,Terra,MODIS,42,6.2,284.7,11.9,D,0
47.1579,37.5588,306.4,1,1,2000-11-04,0843,Terra,MODIS,63,6.2,287,7.6,D,2
47.1039,37.6191,302.1,1,1,2000-11-04,0843,Terra,MODIS,15,6.2,286.5,4.8,D,2
47.0967,37.6033,303.9,1,1,2000-11-04,0843,Terra,MODIS,0,6.2,288,5.6,D,2
49.8138,24.7177,300.7,1.2,1.1,2000-11-05,0926,Terra,MODIS,41,6.2,286.5,6.9,D,0
48.564,26.0676,304.6,1.1,1,2000-11-05,0926,Terra,MODIS,52,6.2,287.2,7.4,D,0
48.6425,24.5465,314.4,1.2,1.1,2000-11-08,0957,Terra,MODIS,75,6.2,289.5,17,D,0
48.6396,24.5621,306.6,1.2,1.1,2000-11-08,0957,Terra,MODIS,64,6.2,287.8,9.7,D,0
49.6895,38.0546,300.3,1.1,1,2000-11-09,0901,Terra,MODIS,29,6.2,271.5,9.3,D,0
48.6288,38.2109,315.5,1.2,1.1,2000-11-09,0901,Terra,MODIS,72,6.2,266.8,22.9,D,0
48.1686,36.5367,306.5,1.1,1,2000-11-09,0901,Terra,MODIS,64,6.2,270.8,12.1,D,0
48.1663,36.5505,301.7,1.1,1,2000-11-09,0901,Terra,MODIS,49,6.2,271,9,D,0
47.172,37.5485,304.5,1.2,1.1,2000-11-09,0902,Terra,MODIS,59,6.2,275.1,11.2,D,0
45.8896,33.758,300.4,1,1,2000-11-09,0902,Terra,MODIS,0,6.2,283.4,5.3,D,0
45.8864,33.7173,303.2,1,1,2000-11-09,0902,Terra,MODIS,55,6.2,284.4,6.6,D,0
45.8173,33.5578,311.8,1,1,2000-11-09,0902,Terra,MODIS,72,6.2,285.7,11.6,D,0
45.8085,33.5552,340.4,1,1,2000-11-09,0902,Terra,MODIS,92,6.2,286.2,44.9,D,0
45.8066,33.5678,310,1,1,2000-11-09,0902,Terra,MODIS,69,6.2,284.9,10.1,D,0
48.1871,37.6442,310.6,2.5,1.5,2000-11-10,0806,Terra,MODIS,40,6.2,276.6,49.1,D,0
49.4565,38.5909,301.2,1,1,2000-11-11,0849,Terra,MODIS,44,6.2,278.1,6.9,D,0
48.8683,36.9635,303.8,1,1,2000-11-11,0849,Terra,MODIS,57,6.2,279.7,8.9,D,0
48.6274,36.7003,300.8,1,1,2000-11-11,0849,Terra,MODIS,41,6.2,279.7,6.9,D,0
47.1019,37.6079,302.9,1.9,1.4,2000-11-12,1903,Terra,MODIS,52,6.2,272.9,27.2,N,2
49.4679,36.9218,324.4,1.5,1.2,2000-11-14,0919,Terra,MODIS,83,6.2,278.5,46.4,D,0
47.0959,37.6001,308,1.4,1.2,2000-11-15,0825,Terra,MODIS,0,6.2,275.9,17.6,D,2
47.1582,37.5365,305,1,1,2000-11-15,1934,Terra,MODIS,62,6.2,274.5,11.3,N,2
47.1562,37.5235,309.6,1,1,2000-11-15,1934,Terra,MODIS,78,6.2,273.8,14.7,N,0
48.4644,38.7697,305.6,1,1,2000-11-15,1934,Terra,MODIS,65,6.2,272,12,N,2
47.868,33.4485,321.9,1.3,1.1,2000-11-15,1934,Terra,MODIS,100,6.2,276.8,34.4,N,2
47.8685,33.3952,304.8,1.3,1.1,2000-11-15,1934,Terra,MODIS,62,6.2,277.5,14.5,N,2
50.1494,36.398,315.6,1.1,1,2000-11-16,0907,Terra,MODIS,76,6.2,279.7,19.4,D,0
49.4842,36.9187,304,1.1,1.1,2000-11-16,0907,Terra,MODIS,58,6.2,280.4,10.2,D,0
49.5998,35.4982,325.3,1,1,2000-11-16,0907,Terra,MODIS,84,6.2,282.5,28,D,0
49.5974,35.5123,326.7,1,1,2000-11-16,0907,Terra,MODIS,85,6.2,282.5,29.7,D,0
48.5179,34.6292,300.1,1,1,2000-11-16,0907,Terra,MODIS,19,6.2,281.5,6.7,D,2
47.1511,37.534,306.2,1.3,1.1,2000-11-16,0908,Terra,MODIS,63,6.2,276.8,13.8,D,2
47.6258,34.3206,307.7,1,1,2000-11-16,0908,Terra,MODIS,66,6.2,282.6,10.5,D,2
46.9868,32.5023,309.7,1,1,2000-11-16,0908,Terra,MODIS,69,6.2,284.5,11.1,D,0
46.5281,30.696,309.4,1,1,2000-11-16,0908,Terra,MODIS,68,6.2,286.4,10.1,D,0
46.5264,30.7093,300.8,1,1,2000-11-16,0908,Terra,MODIS,29,6.2,285.8,4.5,D,0
46.5194,30.7014,306.7,1,1,2000-11-16,0908,Terra,MODIS,48,6.2,286.2,8.5,D,0
45.8333,33.8241,315.5,1,1,2000-11-16,0908,Terra,MODIS,76,6.2,284.6,16.5,D,0
50.1719,29.3705,304.9,1.5,1.2,2000-11-17,0950,Terra,MODIS,60,6.2,281.2,15.7,D,0
49.9002,35.1127,306.3,1,1,2000-11-18,0855,Terra,MODIS,63,6.2,276.7,11.2,D,0
49.1757,36.0013,301.1,1,1,2000-11-18,0855,Terra,MODIS,44,6.2,279.4,7.4,D,0
48.2116,38.2436,311,1.4,1.2,2000-11-19,1909,Terra,MODIS,81,6.2,272.8,26.5,N,2
