latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
23.3127,54.1765,348.7,1,1,2000-11-02,0723,Terra,MODIS,92,6.2,314,42.1,D,2
23.3088,54.1873,318.3,2.7,1.6,2000-11-02,1819,Terra,MODIS,97,6.2,294.7,70.5,N,2
23.3037,54.1614,316.2,2.7,1.6,2000-11-02,1819,Terra,MODIS,93,6.2,294.4,62.6,N,2
23.3127,54.1812,320.7,2.7,1.6,2000-11-02,1819,Terra,MODIS,100,6.2,294.9,80.9,N,2
23.3075,54.1553,305.1,2.7,1.6,2000-11-02,1819,Terra,MODIS,63,6.2,294.2,28.5,N,0
23.3133,54.1802,304.5,1,1,2000-11-12,1856,Terra,MODIS,61,6.2,288.9,7.9,N,2
23.8506,53.6456,302.6,2.8,1.6,2000-11-15,1927,Terra,MODIS,50,6.2,289.2,26.3,N,0
23.8466,53.6524,323.4,1.3,1.1,2000-11-16,0735,Terra,MODIS,60,6.2,302.5,13.4,D,0
23.8489,53.6623,304.7,1.7,1.3,2000-11-16,1832,Terra,MODIS,61,6.2,289.3,13.9,N,0
23.846,53.6458,309.9,1.7,1.3,2000-11-16,1832,Terra,MODIS,79,6.2,290.7,21.5,N,0
23.8438,53.6552,316.7,1.7,1.3,2000-11-17,1915,Terra,MODIS,94,6.2,292.3,31.1,N,0
23.8553,53.6538,304.2,1.7,1.3,2000-11-17,1915,Terra,MODIS,59,6.2,291.7,11.9,N,0
23.8534,53.668,304.5,2.9,1.6,2000-11-18,1820,Terra,MODIS,60,6.2,290.9,25.9,N,0
23.848,53.6406,317,2.9,1.6,2000-11-18,1820,Terra,MODIS,94,6.2,291.7,68.8,N,0
23.841,53.6645,302.7,2.9,1.6,2000-11-18,1820,Terra,MODIS,30,6.2,290.9,20.2,N,0
23.8552,53.661,304.1,2.9,1.6,2000-11-18,1820,Terra,MODIS,59,6.2,290.9,24.7,N,0
23.8496,53.6337,305.4,2.9,1.6,2000-11-18,1820,Terra,MODIS,64,6.2,291.4,28.4,N,0
23.8422,53.6544,302.2,1.1,1.1,2000-11-19,1902,Terra,MODIS,46,6.2,291.6,5.5,N,0
23.8516,53.653,303.8,1.1,1.1,2000-11-19,1902,Terra,MODIS,57,6.2,290.9,6.7,N,0
24.1329,52.7029,303.7,1.1,1,2000-11-21,1850,Terra,MODIS,57,6.2,291.1,5.2,N,0
23.3115,54.1745,316.9,1.4,1.2,2000-11-26,1908,Terra,MODIS,94,6.2,287.9,28.1,N,2
23.3097,54.1687,326.5,3.5,1.8,2000-11-27,1813,Terra,MODIS,100,6.2,286.3,167.4,N,2
23.8512,53.6545,300.9,1.4,1.2,2000-12-09,1837,Terra,MODIS,35,6.2,286.5,8.2,N,0
23.3148,54.1755,300.7,1,1,2000-12-23,1849,Terra,MODIS,33,6.2,287.8,6.3,N,2
