latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.5788,-2.9113,300.9,1.4,1.2,2000-11-04,1159,Terra,MODIS,43,6.2,283.9,9.5,D,2
53.5644,-0.5972,305.5,1,1,2000-11-10,1122,Terra,MODIS,58,6.2,279.2,10.2,D,2
56.0995,-3.2999,319.9,1,1,2000-11-13,1152,Terra,MODIS,80,6.2,279.1,22.7,D,0
53.4605,-1.3136,302.7,1.3,1.1,2000-11-13,1153,Terra,MODIS,46,6.2,277.6,10.6,D,0
53.4509,-1.3188,306.2,1.3,1.1,2000-11-13,1153,Terra,MODIS,63,6.2,277,13.7,D,0
51.5743,-3.7736,308.6,1.1,1.1,2000-11-13,1153,Terra,MODIS,51,6.2,281.5,13.5,D,2
51.5687,-3.7656,304.4,1.1,1.1,2000-11-13,1153,Terra,MODIS,0,6.2,282.1,11.3,D,2
56.1031,-3.308,300.6,1,1,2000-11-14,2211,Terra,MODIS,30,6.2,272.9,8.9,N,0
56.1002,-3.3014,320,1,1,2000-11-15,1140,Terra,MODIS,63,6.2,274.5,22.5,D,0
56.0989,-3.31,303.4,1.8,1.3,2000-11-16,1223,Terra,MODIS,56,6.2,277.8,20.4,D,0
56.0932,-3.311,305.2,1,1,2000-11-16,2158,Terra,MODIS,24,6.2,269,12.1,N,0
57.0522,-2.8371,304.4,1.2,1.1,2000-11-17,1127,Terra,MODIS,59,6.2,274,12.9,D,0
53.3969,-1.3889,303.1,1.1,1,2000-11-25,2151,Terra,MODIS,53,6.2,276,11.2,N,0
53.5667,-0.595,300.9,1,1,2000-12-03,1128,Terra,MODIS,40,6.2,279.1,7.5,D,2
53.5689,-0.6024,302.7,1.3,1.1,2000-12-30,2221,Terra,MODIS,43,6.2,267.3,15.3,N,2
