latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-33.1207,-58.3047,311.6,1,1,2000-11-02,1414,Terra,MODIS,57,6.2,300.6,6,D,0
-34.6391,-55.4603,300.1,1.2,1.1,2000-11-02,1415,Terra,MODIS,25,6.2,285.5,4.6,D,0
-32.3707,-54.1689,311.2,1,1,2000-11-04,1402,Terra,MODIS,54,6.2,295.8,6.3,D,0
-32.4352,-57.4921,322.7,1.3,1.1,2000-11-13,1356,Terra,MODIS,82,6.2,290.3,27,D,0
-32.0217,-57.5197,315.4,1.3,1.1,2000-11-16,1426,Terra,MODIS,63,6.2,303.1,9.3,D,0
-32.8515,-57.8835,328.3,1.2,1.1,2000-11-16,1427,Terra,MODIS,81,6.2,299.9,30.5,D,0
-32.8531,-57.8702,320.9,1.2,1.1,2000-11-16,1427,Terra,MODIS,73,6.2,299.4,19.8,D,0
-32.8615,-57.8851,337.8,1.2,1.1,2000-11-16,1427,Terra,MODIS,88,6.2,299.4,47.2,D,0
-32.8631,-57.8718,327.4,1.2,1.1,2000-11-16,1427,Terra,MODIS,80,6.2,299.9,28,D,0
-33.2494,-58.0333,312.4,1.2,1.1,2000-11-16,1427,Terra,MODIS,42,6.2,299.9,7.1,D,0
-33.2509,-58.0201,312.7,1.2,1.1,2000-11-16,1427,Terra,MODIS,55,6.2,301.2,7.3,D,0
-33.5317,-58.2186,310.9,1.2,1.1,2000-11-16,1427,Terra,MODIS,52,6.2,300.2,6.6,D,0
-34.3538,-53.7801,307.3,2.3,1.5,2000-11-16,1427,Terra,MODIS,0,6.2,296.3,13.9,D,0
-32.8527,-57.8846,311.2,3.3,1.7,2000-11-17,1332,Terra,MODIS,56,6.2,296.7,37.8,D,0
-30.4006,-56.4634,319.1,1,1,2000-11-18,1414,Terra,MODIS,39,6.2,307.6,7.7,D,0
-32.1973,-55.5691,315.5,1.1,1.1,2000-11-18,1414,Terra,MODIS,46,6.2,304.1,6.8,D,0
-32.1988,-55.5572,316.1,1.1,1.1,2000-11-18,1414,Terra,MODIS,51,6.2,305,7.6,D,0
-32.8564,-57.8834,316.9,1,1,2000-11-18,1414,Terra,MODIS,57,6.2,304.4,7.6,D,0
-32.858,-57.8728,315.4,1,1,2000-11-18,1414,Terra,MODIS,49,6.2,304.9,6.5,D,0
-33.2495,-58.0307,316.9,1,1,2000-11-18,1414,Terra,MODIS,25,6.2,304.3,6.2,D,0
-33.5183,-56.8978,315.7,1,1,2000-11-18,1414,Terra,MODIS,58,6.2,304.4,5.8,D,0
-34.3402,-56.7077,316.2,1.1,1,2000-11-18,1415,Terra,MODIS,56,6.2,305.1,8.1,D,0
-34.5251,-56.2852,313.6,1.1,1.1,2000-11-18,1415,Terra,MODIS,45,6.2,302.6,6.1,D,0
-34.5298,-56.2802,314,1.1,1.1,2000-11-18,1415,Terra,MODIS,55,6.2,302.7,6.2,D,0
-34.7205,-55.954,313.2,1.1,1.1,2000-11-18,1415,Terra,MODIS,55,6.2,302.3,6.4,D,0
-34.7303,-56.2164,316.4,1.1,1.1,2000-11-18,1415,Terra,MODIS,64,6.2,302.6,7.8,D,0
-33.2367,-54.387,313.5,1,1,2000-11-20,1402,Terra,MODIS,26,6.2,301.5,5.2,D,0
-33.0955,-56.1025,312,1,1,2000-11-20,1402,Terra,MODIS,51,6.2,301.6,4.9,D,0
-32.8558,-57.6576,363.9,1.1,1.1,2000-11-20,1402,Terra,MODIS,100,6.2,300.4,110.2,D,0
-33.427,-54.0129,324.2,1,1,2000-11-20,1402,Terra,MODIS,74,6.2,300.9,16.3,D,0
-34.4844,-54.336,310.3,1,1,2000-11-20,1402,Terra,MODIS,47,6.2,299.4,4.5,D,0
-34.3753,-55.2378,313.6,1,1,2000-11-20,1402,Terra,MODIS,61,6.2,300,6,D,0
-34.2649,-57.9666,352.5,1.1,1,2000-11-20,1402,Terra,MODIS,96,6.2,299.9,74.7,D,0
-31.9847,-57.9626,321.3,1,1,2000-11-25,1420,Terra,MODIS,72,6.2,304.7,12.1,D,0
-31.9939,-57.9642,315.1,1,1,2000-11-25,1420,Terra,MODIS,37,6.2,303.3,5.5,D,0
-33.5147,-56.8971,310.8,1.2,1.1,2000-11-25,1420,Terra,MODIS,55,6.2,300.7,6.3,D,0
-34.34,-56.7046,311.2,1.2,1.1,2000-11-25,1421,Terra,MODIS,52,6.2,301,8.3,D,0
-34.7302,-56.2131,310.5,1.3,1.1,2000-11-25,1421,Terra,MODIS,59,6.2,299.1,7.2,D,0
-34.3786,-55.239,317,1.1,1,2000-11-27,1408,Terra,MODIS,67,6.2,302.2,8,D,0
-34.5216,-56.2789,315.6,1,1,2000-11-27,1408,Terra,MODIS,55,6.2,304.1,5.8,D,0
-34.7314,-56.2148,318.1,1,1,2000-11-27,1408,Terra,MODIS,56,6.2,304.6,6.1,D,0
-32.2919,-57.8863,324.5,1.8,1.3,2000-11-30,1438,Terra,MODIS,79,6.2,304.2,40.1,D,0
-32.2938,-57.8668,321,1.8,1.3,2000-11-30,1438,Terra,MODIS,75,6.2,299.2,31,D,0
-31.8986,-58.02,317.9,1.2,1.1,2000-12-02,1426,Terra,MODIS,53,6.2,305.9,8.5,D,0
-33.5526,-57.9432,319.6,1.2,1.1,2000-12-02,1426,Terra,MODIS,71,6.2,302.9,14.7,D,0
-32.8841,-57.6304,320.4,3.9,1.8,2000-12-05,1456,Terra,MODIS,74,6.2,293.5,97.8,D,0
-32.8866,-57.588,310.4,3.9,1.8,2000-12-05,1456,Terra,MODIS,51,6.2,294.2,40.6,D,0
-32.889,-57.6358,316.8,3.9,1.8,2000-12-05,1456,Terra,MODIS,68,6.2,293.6,74.4,D,0
-32.8913,-57.5934,315,3.9,1.8,2000-12-05,1456,Terra,MODIS,64,6.2,294.1,65.7,D,0
-32.3749,-54.1704,316.5,1,1,2000-12-06,1401,Terra,MODIS,28,6.2,303.2,5.1,D,0
-32.9967,-53.9204,320.8,1,1,2000-12-06,1401,Terra,MODIS,65,6.2,306.5,6.8,D,0
-33.2353,-54.388,316.6,1,1,2000-12-06,1401,Terra,MODIS,40,6.2,303.3,6.8,D,0
-32.3182,-58.0846,320.2,1.4,1.2,2000-12-09,1432,Terra,MODIS,24,6.2,307.2,10.4,D,0
-32.927,-57.4815,334.8,1.6,1.2,2000-12-09,1432,Terra,MODIS,83,6.2,309.7,46.3,D,0
-32.9288,-57.4646,320.6,1.6,1.2,2000-12-09,1432,Terra,MODIS,61,6.2,307.9,14.1,D,0
-32.9578,-57.6211,363.5,1.5,1.2,2000-12-09,1432,Terra,MODIS,100,6.2,310.4,160.3,D,0
-32.4502,-57.7427,336.9,1.1,1,2000-12-11,1420,Terra,MODIS,86,6.2,299.8,32.9,D,0
-32.4517,-57.7313,320.1,1.1,1,2000-12-11,1420,Terra,MODIS,64,6.2,295.9,10.3,D,0
-33.8965,-56.6022,320.7,1.2,1.1,2000-12-11,1420,Terra,MODIS,64,6.2,304.3,9.2,D,0
-33.898,-56.5889,328.4,1.2,1.1,2000-12-11,1420,Terra,MODIS,77,6.2,304,20.4,D,0
-34.3738,-55.235,321.1,1.1,1,2000-12-13,1408,Terra,MODIS,65,6.2,303.8,8,D,0
-34.7908,-54.9145,320.3,1.1,1,2000-12-13,1408,Terra,MODIS,55,6.2,303.7,8.9,D,0
-33.7957,-58.3315,317,2.8,1.6,2000-12-14,1451,Terra,MODIS,66,6.2,299.6,28.5,D,0
-33.8266,-58.1119,326.2,2.9,1.6,2000-12-14,1451,Terra,MODIS,65,6.2,297.5,68.2,D,0
-33.8258,-58.1189,323.7,2.9,1.6,2000-12-14,1451,Terra,MODIS,76,6.2,297.3,61.5,D,0
-33.8279,-58.0869,323.5,3,1.6,2000-12-14,1451,Terra,MODIS,76,6.2,298.1,62.6,D,0
-32.5446,-57.5837,312.4,2,1.4,2000-12-17,1343,Terra,MODIS,56,6.2,299,13.4,D,0
-33.1902,-58.1962,312.5,2.1,1.4,2000-12-17,1343,Terra,MODIS,60,6.2,296.7,13.7,D,0
-33.1931,-58.18,314.1,2.1,1.4,2000-12-17,1343,Terra,MODIS,65,6.2,297.4,17.7,D,0
