latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.197,-63.6892,302.9,1.2,1.1,2000-11-01,0242,Terra,MODIS,52,6.2,287.6,5.5,N,0
9.2878,-63.9632,304.2,1.2,1.1,2000-11-01,0242,Terra,MODIS,59,6.2,289.5,6.2,N,0
9.6485,-63.5263,306.3,1.1,1.1,2000-11-01,0242,Terra,MODIS,68,6.2,287.7,7.6,N,2
9.6439,-63.5573,310.7,1.2,1.1,2000-11-01,0242,Terra,MODIS,81,6.2,288.7,10.7,N,2
9.6424,-63.5677,327.1,1.2,1.1,2000-11-01,0242,Terra,MODIS,100,6.2,288.7,30,N,2
9.6519,-63.5326,301.4,1.1,1.1,2000-11-01,0242,Terra,MODIS,41,6.2,288.1,4.4,N,2
9.6472,-63.5636,327,1.2,1.1,2000-11-01,0242,Terra,MODIS,100,6.2,289.2,30.1,N,2
9.6457,-63.574,308.1,1.2,1.1,2000-11-01,0242,Terra,MODIS,73,6.2,288.1,9,N,2
9.6568,-63.565,302.1,1.2,1.1,2000-11-01,0242,Terra,MODIS,30,6.2,287.8,4.5,N,2
9.7387,-63.4725,301.6,1.1,1.1,2000-11-01,0242,Terra,MODIS,43,6.2,286.7,4.5,N,2
9.8315,-63.3372,302.3,1.1,1.1,2000-11-01,0242,Terra,MODIS,48,6.2,288.6,4.7,N,2
9.83,-63.3473,301.8,1.1,1.1,2000-11-01,0242,Terra,MODIS,44,6.2,288.3,4.6,N,2
9.7299,-63.4689,316.9,1,1,2000-11-01,1458,Terra,MODIS,51,6.2,295.8,8.1,D,2
9.2688,-64.0417,323.5,1.1,1,2000-11-01,1458,Terra,MODIS,76,6.2,297.6,13.9,D,2
8.7669,-64.5725,328.7,1.1,1,2000-11-01,1459,Terra,MODIS,81,6.2,295.8,19.2,D,0
8.7575,-64.5739,317.4,1.1,1,2000-11-01,1459,Terra,MODIS,54,6.2,293.9,6.4,D,0
7.8897,-61.7904,309.2,1,1,2000-11-01,1459,Terra,MODIS,48,6.2,281.2,7.2,D,0
8.0442,-65.3765,316,1.2,1.1,2000-11-01,1459,Terra,MODIS,67,6.2,292,9.6,D,0
7.0562,-61.6353,318.5,1.1,1,2000-11-01,1459,Terra,MODIS,70,6.2,295.4,9.6,D,0
8.5337,-66.1859,314.8,2.6,1.6,2000-11-02,1541,Terra,MODIS,71,6.2,280.7,35.7,D,0
8.5283,-66.1936,316.1,2.6,1.6,2000-11-02,1541,Terra,MODIS,73,6.2,279.9,41.1,D,0
6.5909,-67.2937,315,2.3,1.5,2000-11-02,1542,Terra,MODIS,71,6.2,283,26.9,D,0
6.5876,-67.2734,311.4,2.3,1.5,2000-11-02,1542,Terra,MODIS,61,6.2,283.3,17.3,D,0
6.5909,-67.2785,312.6,2.3,1.5,2000-11-02,1542,Terra,MODIS,68,6.2,283,21.1,D,0
9.2279,-63.1273,303,1.7,1.3,2000-11-03,0230,Terra,MODIS,53,6.2,271.8,14.5,N,0
9.2245,-63.133,302.4,1.7,1.3,2000-11-03,0230,Terra,MODIS,49,6.2,271.9,14.9,N,0
9.64,-63.5599,312.3,1.8,1.3,2000-11-03,0230,Terra,MODIS,85,6.2,284.1,27.8,N,2
9.6373,-63.5765,303.1,1.9,1.3,2000-11-03,0230,Terra,MODIS,47,6.2,282.8,13.3,N,2
9.6518,-63.5616,300.3,1.8,1.3,2000-11-03,0230,Terra,MODIS,4,6.2,283.6,9.7,N,2
9.7327,-63.4811,301.3,1.8,1.3,2000-11-03,0230,Terra,MODIS,37,6.2,278.1,13.1,N,2
9.8281,-63.3323,301.2,1.8,1.3,2000-11-03,0230,Terra,MODIS,38,6.2,277.4,11.1,N,2
9.8256,-63.3482,307.9,1.8,1.3,2000-11-03,0230,Terra,MODIS,73,6.2,277.1,20.5,N,2
9.8358,-63.339,311.5,1.8,1.3,2000-11-03,0230,Terra,MODIS,83,6.2,278.4,24.8,N,2
9.8332,-63.3549,300.6,1.8,1.3,2000-11-03,0230,Terra,MODIS,4,6.2,278,9.2,N,2
