latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-9.4377,28.5724,331.9,1.4,1.2,2000-11-01,0828,Terra,MODIS,65,6.2,305.5,24.4,D,0
-9.4501,28.5833,329.4,1.4,1.2,2000-11-01,0828,Terra,MODIS,0,6.2,302.2,17.5,D,0
-10.6313,32.2273,324.3,1,1,2000-11-01,0828,Terra,MODIS,56,6.2,281.6,14,D,0
-10.7019,30.1819,341.6,1.1,1,2000-11-01,0828,Terra,MODIS,87,6.2,306.1,25.9,D,0
-10.7081,29.8129,338.7,1.1,1.1,2000-11-01,0828,Terra,MODIS,73,6.2,300.5,33.8,D,0
-10.7159,29.1485,324.6,1.2,1.1,2000-11-01,0828,Terra,MODIS,0,6.2,297.1,13.3,D,0
-10.7028,29.0007,337.7,1.3,1.1,2000-11-01,0828,Terra,MODIS,74,6.2,298.5,35.8,D,0
-10.824,29.778,335.4,1.1,1.1,2000-11-01,0828,Terra,MODIS,79,6.2,307.4,20.2,D,0
-10.9844,29.6236,331.6,1.2,1.1,2000-11-01,0828,Terra,MODIS,50,6.2,304.2,15.6,D,0
-10.986,29.6341,331.4,1.2,1.1,2000-11-01,0828,Terra,MODIS,49,6.2,305.3,14.9,D,0
-11.0464,29.6185,334.8,1.2,1.1,2000-11-01,0828,Terra,MODIS,66,6.2,306.7,18.6,D,0
-11.0767,29.6245,334.6,1.1,1.1,2000-11-01,0829,Terra,MODIS,80,6.2,307.6,17.2,D,0
-11.0783,29.6349,330.9,1.1,1.1,2000-11-01,0829,Terra,MODIS,75,6.2,306.5,11,D,0
-11.1102,29.5873,335.5,1.2,1.1,2000-11-01,0829,Terra,MODIS,81,6.2,306.1,18.7,D,0
-11.2806,30.4744,337,1.1,1,2000-11-01,0829,Terra,MODIS,49,6.2,311.8,10.9,D,0
-11.2749,30.1268,334.8,1.1,1,2000-11-01,0829,Terra,MODIS,56,6.2,310.8,20,D,0
-11.5834,31.2583,333.2,1,1,2000-11-01,0829,Terra,MODIS,79,6.2,300.4,17.3,D,0
-11.6548,30.9963,328.4,1,1,2000-11-01,0829,Terra,MODIS,70,6.2,302.5,10.8,D,0
-11.4583,29.5184,332.6,1.2,1.1,2000-11-01,0829,Terra,MODIS,78,6.2,305.5,14.7,D,0
-11.5645,29.9246,340,1.1,1,2000-11-01,0829,Terra,MODIS,87,6.2,308.3,30.8,D,0
-11.6325,30.3659,334.4,1.1,1,2000-11-01,0829,Terra,MODIS,59,6.2,310.6,16.6,D,0
-11.7895,31.1584,325.7,1,1,2000-11-01,0829,Terra,MODIS,56,6.2,291.1,13.5,D,0
-11.6888,30.4261,336.6,1.1,1,2000-11-01,0829,Terra,MODIS,48,6.2,300.1,22.4,D,0
-11.8892,31.4559,321.7,1,1,2000-11-01,0829,Terra,MODIS,55,6.2,296.9,10.2,D,0
-11.919,30.6697,334,1,1,2000-11-01,0829,Terra,MODIS,77,6.2,308.3,13.8,D,0
-12.0754,31.2846,333.6,1,1,2000-11-01,0829,Terra,MODIS,42,6.2,304.9,17.7,D,0
-12.4391,31.1299,323.6,1,1,2000-11-01,0829,Terra,MODIS,80,6.2,283.7,16.5,D,0
-12.4404,31.1391,345.7,1,1,2000-11-01,0829,Terra,MODIS,94,6.2,285.8,49,D,0
-12.949,30.9681,327.2,1,1,2000-11-01,0829,Terra,MODIS,77,6.2,291.6,17.2,D,0
-13.0026,30.7736,322.7,1,1,2000-11-01,0829,Terra,MODIS,58,6.2,278.7,16.5,D,0
-13.06,31.0953,354,1,1,2000-11-01,0829,Terra,MODIS,97,6.2,293.9,61.2,D,0
-13.0408,30.7202,336.3,1,1,2000-11-01,0829,Terra,MODIS,86,6.2,297.4,27.4,D,0
-13.2616,30.6581,326,1,1,2000-11-01,0829,Terra,MODIS,38,6.2,302.6,10.2,D,0
-13.7041,28.9981,328.9,1.2,1.1,2000-11-01,0829,Terra,MODIS,76,6.2,302.9,13.4,D,0
-13.8641,29.2431,332.5,1.1,1.1,2000-11-01,0829,Terra,MODIS,73,6.2,310.2,10.8,D,0
-13.86,28.1218,328.5,1.3,1.1,2000-11-01,0829,Terra,MODIS,74,6.2,303.9,21.4,D,0
-13.3654,23.7432,323.7,2.7,1.6,2000-11-01,0829,Terra,MODIS,59,6.2,297.9,45.8,D,0
-13.3736,23.761,328.4,2.7,1.6,2000-11-01,0829,Terra,MODIS,78,6.2,298.3,70.9,D,0
-15.0743,28.0282,325.6,1.2,1.1,2000-11-01,0830,Terra,MODIS,69,6.2,299.9,19.3,D,0
-13.715,22.7738,331.6,1.1,1.1,2000-11-02,0912,Terra,MODIS,78,6.2,309.6,11.7,D,0
-14.0392,23.5934,323.4,1.3,1.1,2000-11-02,0912,Terra,MODIS,60,6.2,305.8,11.7,D,0
-14.4244,23.504,336.8,1.3,1.1,2000-11-02,0912,Terra,MODIS,84,6.2,306.5,29.1,D,0
-14.5858,24.1003,334.3,1.4,1.2,2000-11-02,0912,Terra,MODIS,79,6.2,314.9,27.2,D,0
-14.7563,23.248,332.8,1.2,1.1,2000-11-02,0913,Terra,MODIS,73,6.2,308.9,12.9,D,0
